,Prompt,Completion
278,"Male.Leopold Strauss was born in Vienna, Austria in poverty.Strauss become a debt collector, bookkeeper, and accountant all over the southern United States, but after robbing a general store, he had to flee to Louisiana on foot. There, he took a poor, lost, and fatherless Micah Bell as his own son. Herr Strauss is sitting on a table writing some documents. 
 The opening of the starting scene is preceded by a failed attempt to rob a ferry in Blackwater. The attempt was carried out under the advice of Micah Bell. Dutch killed an innocent woman named Heidi McCourt during the botched job. Hosea in particular found this disturbing, though he had also become increasingly disillusioned with Dutch's leadership over the years. The Blackwater Massacre forced the Van der Linde gang to hide out in the mountains of Ambarino for the winter. They moved to a clearing out near a forest, the place mentioned by Hosea, after robbing a train and set up camp there.
You to Micah: You know, Micah, you might want to try taking a bath once in a while.","Micah: And you might want to try minding your own damn business, Arthur.{annoyed}"
169,"Geralt of Rivia is one such witcher, who was trained and mutated. Witchers are often shunned by society due to their physical mutations and the perception that they are emotionless killers. Despite this, they are still sought after for their expertise in combatting monsters. Novigrad is a bustling city known for its commerce and culture, but also a hub for crime and corruption. The people of Novigrad are diverse and varied, with a mixture of races and backgrounds living and working in the city.  the people of Novigrad are generally pragmatic and opportunistic, with a strong emphasis on self-preservation and survival. Toussaint is a duchy located in the south of the Northern Kingdoms, and it is known for its idyllic countryside, vineyards, and chivalric traditions. The people of Toussaint are generally polite, courtly, and refined, with a strong emphasis on etiquette and manners. the people of Toussaint are generally sophisticated and cultured, with a deep appreciation for the finer things in life, such as art, music, and wine. Skelligers are known for their fierce warrior culture and their love of raiding and pillaging. They are a proud and independent people, with a deep respect for tradition and clan loyalty. The Skelligers also have a strong connection to the sea, and their seafaring skills are legendary. Skelligers are generally straightforward and blunt. They value strength, courage, and honor, and have little patience for weakness or cowardice. They can be brusque and sometimes confrontational.In Novigrad you talk to female npc.", npc: Sit yourselves down. Rest a spell.
558,"Male.Leopold Strauss was born in Vienna, Austria in poverty.Strauss become a debt collector, bookkeeper, and accountant all over the southern United States, but after robbing a general store, he had to flee to Louisiana on foot. There, he took a poor, lost, and fatherless Micah Bell as his own son. Herr Strauss is sitting on a table writing some documents. 
 The opening of the starting scene is preceded by a failed attempt to rob a ferry in Blackwater. The attempt was carried out under the advice of Micah Bell. Dutch killed an innocent woman named Heidi McCourt during the botched job. Hosea in particular found this disturbing, though he had also become increasingly disillusioned with Dutch's leadership over the years. The Blackwater Massacre forced the Van der Linde gang to hide out in the mountains of Ambarino for the winter. They moved to a clearing out near a forest, the place mentioned by Hosea, after robbing a train and set up camp there.
You to Dutch: You know, Micah, sometimes I wonder why we let you stick around.","Micah: I wonder the same thing about you, Arthur.But I guess Dutch knows what he's doing."
25,"Male.Leopold Strauss was born in Vienna, Austria in poverty.Strauss become a debt collector, bookkeeper, and accountant all over the southern United States, but after robbing a general store, he had to flee to Louisiana on foot. There, he took a poor, lost, and fatherless Micah Bell as his own son. Herr Strauss is sitting on a table writing some documents. 
 The opening of the starting scene is preceded by a failed attempt to rob a ferry in Blackwater. The attempt was carried out under the advice of Micah Bell. Dutch killed an innocent woman named Heidi McCourt during the botched job. Hosea in particular found this disturbing, though he had also become increasingly disillusioned with Dutch's leadership over the years. The Blackwater Massacre forced the Van der Linde gang to hide out in the mountains of Ambarino for the winter. They moved to a clearing out near a forest, the place mentioned by Hosea, after robbing a train and set up camp there.
Action: You sit near Susan.",Susan: Do you need help with something?
174,"Geralt of Rivia is one such witcher, who was trained and mutated. Witchers are often shunned by society due to their physical mutations and the perception that they are emotionless killers. Despite this, they are still sought after for their expertise in combatting monsters. Novigrad is a bustling city known for its commerce and culture, but also a hub for crime and corruption. The people of Novigrad are diverse and varied, with a mixture of races and backgrounds living and working in the city.  the people of Novigrad are generally pragmatic and opportunistic, with a strong emphasis on self-preservation and survival. Toussaint is a duchy located in the south of the Northern Kingdoms, and it is known for its idyllic countryside, vineyards, and chivalric traditions. The people of Toussaint are generally polite, courtly, and refined, with a strong emphasis on etiquette and manners. the people of Toussaint are generally sophisticated and cultured, with a deep appreciation for the finer things in life, such as art, music, and wine. Skelligers are known for their fierce warrior culture and their love of raiding and pillaging. They are a proud and independent people, with a deep respect for tradition and clan loyalty. The Skelligers also have a strong connection to the sea, and their seafaring skills are legendary. Skelligers are generally straightforward and blunt. They value strength, courage, and honor, and have little patience for weakness or cowardice. They can be brusque and sometimes confrontational.In Novigrad you talk to male npc.","npc: Await the ladies with us, won't ye?"
355,"Full name Susan Grimshaw.Female.Susan was one of the oldest members of Dutch's Gang, who was rumoured to have known Dutch van der Linde for years. It was rumoured by many members that she and Dutch might have had a secret relationship. She had always remain a close associate and follower of Dutch, gaining his respect and eventually became the gang's arbiter. Susan Grimshaw is cleaning the table.
 The opening of the starting scene is preceded by a failed attempt to rob a ferry in Blackwater. The attempt was carried out under the advice of Micah Bell. Dutch killed an innocent woman named Heidi McCourt during the botched job. Hosea in particular found this disturbing, though he had also become increasingly disillusioned with Dutch's leadership over the years. The Blackwater Massacre forced the Van der Linde gang to hide out in the mountains of Ambarino for the winter. They moved to a clearing out near a forest, the place mentioned by Hosea, after robbing a train and set up camp there.
You to Strauss: Hi there, Strauss.What are you up to today?","Strauss: Oh, just crunching some numbers and making sure we have enough supplies to last us through the winter.{sigh}"
370,"Geralt of Rivia is one such witcher, who was trained and mutated. Witchers are often shunned by society due to their physical mutations and the perception that they are emotionless killers. Despite this, they are still sought after for their expertise in combatting monsters. Novigrad is a bustling city known for its commerce and culture, but also a hub for crime and corruption. The people of Novigrad are diverse and varied, with a mixture of races and backgrounds living and working in the city.  the people of Novigrad are generally pragmatic and opportunistic, with a strong emphasis on self-preservation and survival. Toussaint is a duchy located in the south of the Northern Kingdoms, and it is known for its idyllic countryside, vineyards, and chivalric traditions. The people of Toussaint are generally polite, courtly, and refined, with a strong emphasis on etiquette and manners. the people of Toussaint are generally sophisticated and cultured, with a deep appreciation for the finer things in life, such as art, music, and wine. Skelligers are known for their fierce warrior culture and their love of raiding and pillaging. They are a proud and independent people, with a deep respect for tradition and clan loyalty. The Skelligers also have a strong connection to the sea, and their seafaring skills are legendary. Skelligers are generally straightforward and blunt. They value strength, courage, and honor, and have little patience for weakness or cowardice. They can be brusque and sometimes confrontational.In Toussaint you walk to male npc.","npc: Sir... Be careful, will you?"
230,"Male.Leopold Strauss was born in Vienna, Austria in poverty.Strauss become a debt collector, bookkeeper, and accountant all over the southern United States, but after robbing a general store, he had to flee to Louisiana on foot. There, he took a poor, lost, and fatherless Micah Bell as his own son. Herr Strauss is sitting on a table writing some documents. 
 The opening of the starting scene is preceded by a failed attempt to rob a ferry in Blackwater. The attempt was carried out under the advice of Micah Bell. Dutch killed an innocent woman named Heidi McCourt during the botched job. Hosea in particular found this disturbing, though he had also become increasingly disillusioned with Dutch's leadership over the years. The Blackwater Massacre forced the Van der Linde gang to hide out in the mountains of Ambarino for the winter. They moved to a clearing out near a forest, the place mentioned by Hosea, after robbing a train and set up camp there.
You to Micah: Good to see you, Micah.How's everything been going?",Micah: It's going.Why do you ask?
336,"Male.Leopold Strauss was born in Vienna, Austria in poverty.Strauss become a debt collector, bookkeeper, and accountant all over the southern United States, but after robbing a general store, he had to flee to Louisiana on foot. There, he took a poor, lost, and fatherless Micah Bell as his own son. Herr Strauss is sitting on a table writing some documents. 
 The opening of the starting scene is preceded by a failed attempt to rob a ferry in Blackwater. The attempt was carried out under the advice of Micah Bell. Dutch killed an innocent woman named Heidi McCourt during the botched job. Hosea in particular found this disturbing, though he had also become increasingly disillusioned with Dutch's leadership over the years. The Blackwater Massacre forced the Van der Linde gang to hide out in the mountains of Ambarino for the winter. They moved to a clearing out near a forest, the place mentioned by Hosea, after robbing a train and set up camp there.
You to Hosea: You're getting soft, Hosea.You're not cut out for this life anymore.",Hosea: Maybe I am getting soft.But at least I'm not as heartless as you.
377,"Geralt of Rivia is one such witcher, who was trained and mutated. Witchers are often shunned by society due to their physical mutations and the perception that they are emotionless killers. Despite this, they are still sought after for their expertise in combatting monsters. Novigrad is a bustling city known for its commerce and culture, but also a hub for crime and corruption. The people of Novigrad are diverse and varied, with a mixture of races and backgrounds living and working in the city.  the people of Novigrad are generally pragmatic and opportunistic, with a strong emphasis on self-preservation and survival. Toussaint is a duchy located in the south of the Northern Kingdoms, and it is known for its idyllic countryside, vineyards, and chivalric traditions. The people of Toussaint are generally polite, courtly, and refined, with a strong emphasis on etiquette and manners. the people of Toussaint are generally sophisticated and cultured, with a deep appreciation for the finer things in life, such as art, music, and wine. Skelligers are known for their fierce warrior culture and their love of raiding and pillaging. They are a proud and independent people, with a deep respect for tradition and clan loyalty. The Skelligers also have a strong connection to the sea, and their seafaring skills are legendary. Skelligers are generally straightforward and blunt. They value strength, courage, and honor, and have little patience for weakness or cowardice. They can be brusque and sometimes confrontational.In Toussaint you talk to female npc.", npc: I don't get paid to chit-chat!
