,Prompt,Completion
83,"You to Susan: You seem to have everything well in order here.Susan: Oh, I woudn't go that far.You to Susan: Well it looks pretty good to me.",Susan: Sounds good Mr.Morgan.{greet}
48,Action: You walk by Strauss.,"Strauss: Good Morning, Arthur.{greet}"
19,"You to Dutch: Any problems.Dutch: Not any new ones.You to Dutch: Well, that's something ain't it.",Dutch: Whatever you say.
118,"You to Susan: My Lord, you're old.Susan: Oh, shut up, Arthur.You to Susan: And time has done you a few favours.Susan: What happened to you? You to Susan: It's kind of depressing, if im honest.","Susan:You Arthur Morgan, are not a good man anymore.{walk}"
160,"You to Strauss: Hey Strauss, they call me mean, but you take the prize. Strauss: Now there's no need to be rude. You to Strauss: If you had a spine, you'd be dangryous. Strauss: Why must you torment me, Arthur. You to Strauss: Sadly you're too weak to do your own dirty work.",Strauss: Just go away Arthur!{walk}
32,"You to Dutch: You know...you could get out there too, Dutch.",Dutch: Just remember who you're talking to.
59,Action: Standing near Micah for a while,"Micah:What are you lingering about for, cowboy?"
10,You to Dutch: Morning.,"Dutch: Morning, Morgan.{greet}"
86,You to Susan: The old you would have had this place shipshape in a day.Susan: Don't take that tone with me.You to Susan: You're slipping Grimshaw.,Susan: Why are you doing this? {angry}
109,"You to Susan: You are one tough old boot, ain't you.","Susan: Oh, shut up Arhur."
173,You to Micah: You are the creepiest man I know. Micah: Now that ain't nice Morgan. You to Micah: And probably the nastiest.,Micah: Guess you haven't looked in a mirror lately?
18,You to Dutch: Any problems.,Dutch: Not any new ones.
52,"You to Strauss: Hey Strauss.Strauss: Good Morning, Arthur.You to Strauss: Keep those books full, now.",Strauss: I'm trying.
174,You to Micah: What kind of stupid goddamn name is Micah anyhow?,Micah: You're one to talk.{angry}
149,"You to Strauss: Wipe that snooty look off your face for one minute, will you.",Strauss: Where's this coming from?{angry}
176,You to Micah: What kind of stupid goddamn name is Micah anyhow? Micah: Better than yours. You to Micah: Your mama must've guessed what an ass you'd be. Micah: I would say your mother must've been blind but as off last night I already know that.?  You to Micah: I suppose we should forgive her for not drowning you.,Micah: Mother fucker.{walk}
7,"You to Dutch: Feels like we're back on track, more or less.Dutch: Yup.Money and Food, now everyone needs to keep it comming.You to Dutch: For sure.You to Dutch: Ok, well, lets talk more later.",Dutch: Alright Arthur..
13,"You to Dutch: Anything I need to worry about.Dutch: Not right this minute.You to Dutch: Cause, you're always worrying me these days.",Dutch: I'm not even gonna dignify that with a response.
139,You to Strauss: Grettings! Strauss: Greetings! You to Strauss: Putting the world to rights there?,"Strauss: Trying to, Mr. Morgan."
11,You to Dutch: Anything I need to worry about.,Dutch: Not right this minute.
167,You to Micah: You creeping no good bastard!,Micah: What's your problem with me?
54,You to Strauss: Hey Strauss.,"Strauss: Herr, Morgan.{greet}"
1,Action: You collide with Dutch.,You: Dont mind me Dutch.
159,"You to Strauss: Hey Strauss, they call me mean, but you take the prize. Strauss: Now there's no need to be rude. You to Strauss: If you had a spine, you'd be dangryous.",Strauss: Leave me alone!{angry}
0,Action: You move past Dutch.,Dutch: Good morning Arthur.{greet}
170,You to Micah: Ah stinks of coward right around here. Micah: You got such a chip on your shoulder don't you?  You to Micah: Drop the tough act it's getting embarrassing.,"Micah: You think you're really something, don't you?"
95,"You to Susan: I remember when you were Dutch's number one, Miss Grimshaw.",Susan: Don't start this nonesense.
82,You to Susan: You seem to have everything well in order here.,"Susan: Oh, I woudn't go that far."
140,"You to Strauss: Grettings! Strauss: Greetings! You to Strauss: Putting the world to rights there? Strauss: Trying to, Mr. Morgan. You to Strauss: Dreaming of a future where everyone's every half man half weasel just like you.",Strauss: Now that's a little unfair.
121,"You to Susan: My Lord, you're old.Susan: Oh, shut up, Arthur.You to Susan: Don't worry i'm just playing with you.Susan: Oh i know this stupid game all too well.You to Susan: And time has done you a few favours.",Susan: Is this meant to be funny? {angry}
60,Action: Walking up to Micah.,"Micah: So, you got tired of making money did you, black lung?"
186,Action: Looking at Micah for a while.,Micah: What are you looking at?
6,"You to Dutch: Feels like we're back on track, more or less.","Dutch: Yup.Money and Food, now everyone needs to keep it comming."
16,"You to Dutch: Anything I need to worry about.Dutch: Not right this minute.You to Dutch: Cause, you're always worrying me these days.",Dutch: When are you going to remove that chip from your shoulder?
119,"You to Susan: My Lord, you're old.","Susan: Oh, shut up, Arthur."
116,"You to Susan: My Lord, you're old.","Susan: Oh, shut up, Arthur."
120,"You to Susan: My Lord, you're old.Susan: Oh, shut up, Arthur.You to Susan: Don't worry i'm just playing with you.",Susan: Oh i know this stupid game all too well.
133,You to Strauss: Good morning to you.,Strauss: Good morning.{greet}
9,"You to Dutch: Okay there Dutch? Dutch: Warm, dry, and nobody shooting at me.A marked improvement.You to Dutch: Indeed.Well, I should get back to it.",Dutch: Okay Arthur.
99,"You to Susan: There she is, the camp shire horse.",Susan: I don't like that tone Arthur.
171,"You to Micah: Ah stinks of coward right around here. Micah: You got such a chip on your shoulder don't you?You to Micah: Drop the tough act it's getting embarrassing. Micah: You think you're really something, don't you?  You to Micah: I don't think I have ever been less intimidated",Micah: You're rattling the wrong cage.
124,"You to Strauss: Why are you looking so shifty? Strauss: I'm not. You to Strauss: Okay, I'll guess we find out.","Strauss: Sounds good, Mr. Morgan."
155,You to Strauss: You sicken me.,Strauss: I don't want to get into this please.{walk}
110,"You to Susan: You are one tough old boot, ain't you.Susan: Oh, shut up Arhur.You to Susan: Take it easy, I aint serious.","Susan: Well, then leave me be."
183,"Action: Walking up to Micah as it's raining. Micah: How're you keepin Morgan with all this rain? You: Fine Micah... and you? Micah: Weather don't worry me. In fact, I like it. You: Funny, I didn't think lizards survived in the mountains.",Micah: I like that... must remember that line.
8,You to Dutch: Okay there Dutch?,"Dutch: Warm, dry, and nobody shooting at me.A marked improvement."
21,"You to Dutch: You good? Dutch: Yes, Arthur.You to Dutch: Well im'a leave you to it.",Dutch: Goodbye Arthur.
180,You to Micah: Everyone's bored of the tough act now.,Micah: You need to back off.{angry}
113,"You to Susan: I've had enough of you, you sour old hag.","Susan: I don't like that tone, Arthur."
79,"You to Susan: What would we do without you.Susan: Turn feral, I imagine.You to Susan: Just know, we're gratefull.","Susan: Alright then, Arthur.{greet}"
126,You to Strauss: You ever miss Austria?,"Strauss: Sometimes, I suppose."
30,You to Dutch: Another day another dollar.Dutch: Yes indeed.You to Dutch: So no more master plans okay? You're better of without them.,Dutch: I'm just impressed you're stringing entire sentences together.
145,Action: You walk by Strauss.,Strauss: Hello Arthur.{greet}
92,"You to Susan: I remember when you were Dutch's number one, Miss Grimshaw.",Susan: Don't start this nonesense.{angry}
35,"You to Dutch: Uh oh, Dutch is thinking.This can't be good.",Dutch: I'm just impressed you're stringing entire sentences together.
27,You to Dutch: Hope you're working on a plan there.,Dutch: Always.
123,You to Strauss: Why are you looking so shifty?,Strauss: I'm not.
111,"You to Susan: You are one tough old boot, ain't you.Susan: Oh, shut up Arhur.You to Susan: Take it easy, I aint serious.Susan: Well, dont.You to Susan: I mean, you make father time seem like a nasty man.",Susan: When are you going to act your age.{taunt}
