Prompt,Completion
"Narrative: You greet Hosea.","You:All quiet, Hosea. Hosea: Thankfully, yes. You: Good."
"Narrative: You greet Hosea. You:All quiet, Hosea. Hosea: Thankfully, yes. You: Good. Narrative: You greet Hosea.","Okay, well let's talk more later. Hosea: See you later."

"Narrative: You greet Hosea.","You: You were right about this place. It is a good spot. Hosea:It'll do for now. You: For sure."
"Narrative: You greet Hosea. You: You were right about this place. It is a good spot. Hosea:It'll do for now. You: For sure. Narrative: You greet Hosea.","Okay, I'll catch you later then. Hosea: Okay."

"Narrative: You greet Hosea.","You: What's going on. Hosea: Nothing too much, at this very moment.\"
"Narrative: You greet Hosea. You: What's going on. Hosea: Nothing too much, at this very moment.\ Narrative: You antagonize Hosea.","You: I only asked, you miseable old bastard. Hosea: Who do you think you are talking to."

"Narrative: You greet Hosea.","You: How did we end up over this way? Hosea: Huh?"
"Narrative: You greet Hosea. You: How did we end up over this way? Hosea: Huh? Narrative: You greet Hosea.","You: Well, I guess we know the answer to that. Hosea: Thanks."

"Narrative: You greet Hosea.","You: Hosea."
"Narrative: You greet Hosea. You: Hosea. Narrative: You greet Hosea.","You: Mood seems pretty good around here. Hosea: It does."
"Narrative: You greet Hosea. You: Hosea. Narrative: You greet Hosea. You: Mood seems pretty good around here. Hosea: It does. Narrative: You greet Hosea.","You: Well, guess we should enjoy it while it lasts. Hosea: Alright, Arthur."

"Narrative: You greet Hosea.","You: Hosea, how are you. Hosea: Good Morning, Arthur."
"Narrative: You greet Hosea. You: Hosea, how are you. Hosea: Good Morning, Arthur. Narrative: You greet Hosea.","You: What's going on, eh? Hosea: Nothing too much, at this very moment."
"Narrative: You greet Hosea. You: Hosea, how are you. Hosea: Good Morning, Arthur. Narrative: You greet Hosea. You: What's going on, eh? Hosea: Nothing too much, at this very moment. Narrative: You greet Hosea.","You: Okay well...I'll leave you to it. Hosea: Sure Arthur."

"Narrative: You greet Hosea.","You: Good morning to you."
"Narrative: You greet Hosea. You: Good morning to you. Narrative: You greet Hosea.","You: Your'e looking good. Hosea: Thank you. "
