,Prompt,Completion
0,Action: You move past Dutch.,Dutch: Good morning Arthur.{nod}
1,Action: You walk into Dutch.,You: Dont mind me Dutch.
2,Action: You stand near Dutch for a while.,Dutch: Can you give me some room here.
3,Action: You stand near Dutch for a while.,Dutch: Back up a bit will you.{annoyed}
4,Action: You stand near Dutch for a while.,Dutch: Why are you acting like a fool.{annoyed}
5,Action: You keep stand near Dutch for a while.,Dutch: You want me to teach you a lesson you'll regret.{threaten}
6,"You to Dutch: Feels like we're back on track, more or less.","Dutch: Yup.Money and Food, now everyone needs to keep it comming."
7,You to Dutch: Okay there Dutch?,"Dutch: Warm, dry, and nobody shooting at me.A marked improvement."
8,You to Dutch: Anything I need to worry about.,Dutch: Not right this minute.{nod}
9,You to Dutch: Any problems.,Dutch: Not any new ones.
10,You to Dutch: You good?,Dutch: Just can't seem to get a moment's peace.
11,"You to Dutch: So, what you doing, staring all that time into space.",Dutch: Am I sensing ideas above your station again?{annoyed}
12,You to Dutch: Hope you're working on a plan there.,Dutch: Always.
13,You to Dutch: Another day another dollar.,Dutch: Yes indeed.
14,You to Dutch: So no more master plans okay?You're better of without them.,Dutch: I'm just impressed you're stringing entire sentences together.
15,"You to Dutch: Alright, simmer down.",Dutch: Another bizare attempt at comradery.
16,"You to Dutch: You know...you could get out there too, Dutch.",Dutch: Just remember who you're talking to.
17,You to Dutch: Everyone sees you and Hosea reading.,Dutch: Why are you doing this?
18,"You to Dutch: Uh oh, Dutch is thinking.",Dutch: I'm not even gonna dignify that with a response.
19,You to Dutch: Another day and we are still alive.,Dutch: Of course we are.
20,Action: You walk by Strauss.,"Strauss: Good Morning, Arthur.{nod}"
21,"You to Strauss: Bet you never thought you'd end up here, huh.",Strauss: I didn't know where I'd end up.
22,You to Strauss: Hey Strauss.,"Strauss: Good Morning, Arthur.{nod}"
23,"You to Strauss: Keep those books full, now.",Strauss: I'm trying.
24,You to Strauss: Hey Strauss.,Strauss: Herr Morgan.
25,You to Strauss: Why are you looking so shifty?,Strauss: I'm not.
26,You to Strauss: Putting the world to rights there?,"Strauss: Trying to, Mr.Morgan."
27,Action: You walk by Strauss.,Strauss: Hello Mr.Morgan.{nod}
28,Action: You walk by Strauss.,"Strauss: How are you, Mr.Morgan.{nod}"
29,You to Strauss: You revolt me.,"Strauss: I don't want to get into this, please."
30,"You to Strauss: Wipe that snooty look off your face for one minute, will you.",Strauss: Why so rude.{annoyed}
31,You to Strauss: You little bloodsucker.,"Strauss: Oh no, not this."
32,You to Strauss: You sicken me.,Strauss: I don't want to get into this please.{back away}
33,"You to Strauss: Hey Strauss, they call me mean, but you take the prize.",Strauss: Now there's no need to be rude.{annoyed}
34,You to Strauss: You sicken me.,Strauss: Please dont be like this Mr.Morgan.
35,You to Micah: Hey if you're looking for your balls they're back in Blackwater.,Micah: You have a stick up your arse?Or think of yourself as such a big man?{annoyed}
36,You to Micah: Just what is your game?,Micah: I just hope I ain't your's!
37,You to Micah: You creeping no good bastard! ,"Micah: If you got a problem with me, then say it to my face"
38,You to Micah: We would all be better of without you here Micah.,Micah: Mind your tounge Arthur.{threaten}
39,You to Micah: Ah stinks of coward right around here.,Micah: You got such a chip on your shoulder don't you
40,You to Micah: Drop the tough act it's getting embarrassing.,"Micah: You think you're really something, don't you?{annoyed}"
41,You to Micah: I don't think I have ever been less intimidated ,Micah: You're rattling the wrong cage.{walk}
42,You to Micah: You are the creepiest man I know.,Micah: Now that ain't nice Morgan
43,You to Micah: And probably the nastiest.,Micah: Guess you havn't looked in a mirror lately?
44,You to Micah: What kind of stupid goddamn name is Micah anyhow?,Micah: You're one to talk.
45,"You to Micah: You've kept your mouth shut for five minutes, that's a new record.","Micah: You think you're real funny, don't you?{annoyed}"
46,"You to Micah: Just put the knife away, you ain't impressing no one.",Micah: Oh shut up!{annoyed}
47,You to Micah: Slip and do us a favor.,Micah: This is getting real tiring now.{walk}
48,You to Micah: Everyone's bored of the tough act now.,Micah: You need to back off.
49,You to Micah: Don't smile your face might crack.,"Micah: Yeah well, look who's talking."
50,Action: Walking up to Micah.,Micah: How're you keepin Morgan with all this rain?
51,Action: Looking at Micah for a while.,Micah: What are you looking at?
52,Action: Standing near Micah for a while..,"Micah:What are you lingering about for, cowboy?"
53,Action: Walking up to Micah.,"Micah: Oh look, the big dog is here."
54,Action: Walking up to Micah.,Micah: Run along cowboy.
55,Action: Walking up to Micah.,"Micah: You wanna get shot, Morgan?{fingergun}"
56,"Action: Walking up to Micah.Micah: You wanna get shot, Morgan?You: I've seen you in action.From that range, you'll miss.","Micah: Oh, I'll wipe that smile off your face one day.Believe me."
57,Action: You walk into Susan.,You: Mind your self Susan.
58,Action: You walk into Susan Grimshaw.,You: Forgive me Miss Grimshaw.
59,Action: You approach Susan.,Susan: Good day Mr Morgan.{nod}
60,"You to Susan: What do you think of this palce, Susan?","Susan: An improvement on the last, that's for sure."
61,"You to Susan: You got everything you need, Miss Grimshaw.","Susan: Not by a long shot Mr.Morgan, we lost a lot in the move."
62,You to Susan: Starting to look like home isn't it.,Susan: It's taking shape.
63,You to Susan: Everyone behaving themselves around here?,Susan: Hardly
64,You to Susan: Always good to see you.,"Susan: Hi, Mr.Morgan."
65,You to Susan: What would we do without you.,"Susan: Turn feral, I imagine"
66,You to Susan: Managing to keep everyone in line?,Susan: I'm doin' my best
67,You to Susan: You seem to have everything well in order here.,"Susan: Oh, I woudn't go that far"
68,You to Susan: Morning to you.,"Susan: Hi there, Arthur.{nod}"
69,You to Susan: The old you would have had this place shipshape in a day.,Susan: Don't take that tone with me
70,"You to Susan: There she is, the camp shire horse.",Susan: I don't like that tone Arthur.{annoyed}
71,"You to Susan: You are one tough old boot, ain't you.","Susan: Oh, shut up Arthur{annoyed}"
72,"You to Susan: I've had enough of you, you sour old hag.","Susan: I don't like that tone, Arthur."
73,"You to Susan: My Lord, you're old.","Susan: Oh, shut up, Arthur{annoyed}"
74,"You to Pearson: Glad to be off that mountain, Mr.Pearson.","Pearson: Yes indeed, Lots to do now."
75,"You to Pearson: Alright, well, I should be getting on.",Pearson: Okay.
76,Action: You walk near Pearson.,"You: Good Morning, Mr.Morgan.{great}"
77,You to Pearson: Need any supplies?.,"Pearson: Always, can never have too much."
78,Action: You walk near Pearson.,Pearson: Morning Arthur.{nod}
79,"You to Pearson: Thank you, for all your hard work.",Pearson: Thank you.
80,Action: You walk near Pearson.,"Pearson: Hello, Mr.Morgan.{nod}"
81,You to Pearson: Thank you for all your work.,"Pearson: Thank you, Morgan"
82,You to Pearson: You'll make someone a fine wife someday.,Pearson: I'm just minding my own business here.{walk}
83,Action: You walk near Pearson.,"Pearson: Ah, hello, Mr.Morgan."
84,You to Pearson: Don't you ever get fed up with all this?,Pearson: Sometimes I suppose.
85,You to Pearson: Good morning.,"Pearson: Okay, Mr Morgan."
86,You to Pearson: You seem in a good mood.,Pearson: Well that's nice of you to say so.
87,You to Pearson: Hey Pearson.,"Pearson: Hi there, Arthur."
88,You to Pearson: The last stew I had was pretty damn good.,Pearson: Glad to hear it.
91,Action: You walk near Pearson.,"Pearson: Oh, hello."
94,You to Pearson: How are things.,"Pearson: Ahh, I can't complain."
95,You to Pearson: Don't you ever get fed up with all this?,Pearson: Sometimes I suppose.
96,Action: You walk near Pearson.,You: Pearson.Pearson: Arthur.
97,You to Pearson: You know too many folk around here take you for granted.,"Pearson: Well, that's nice of you to say so."
98,You to Pearson: All good there?,"Pearson: Still need more food, Mr.Morgan.You should try your luck again with that bow."
99,You to Pearson: You know too many folk around here take you for granted.,"Pearson: Well, that's nice of you to say so."
100,Action: You walk near Pearson.,"Pearson: Ah, hello, Mr.Morgan."
101,"You to Pearson: I've got an idea, Pearson, make something edible.",Pearson: I'm just minding my own business here.{annoyed}
102,"You to Pearson: I wish you'd stayed at sea.","Pearson: Hey, what did I do.{annoyed}"
103,"You to Pearson: So what's for dinner?Dysentary again.","Pearson: Hey, come on now."
104,"You to Pearson: There he is, the camp pig.","Pearson: Oh, just what I need."
106,"You to Hosea:All quiet, Hosea.","Hosea: Thankfully, yes."
107,You to Hosea: You were right about this place.It is a good spot.,Hosea:It'll do for now.
108,You to Hosea: What's going on.,"Hosea: Nothing too much, at this very moment."
109,You to Hosea: How did we end up over this way?,Hosea: Huh?
110,You to Hosea: Mood seems pretty good around here.,Hosea: It does.
111,"You to Hosea: Hosea, how are you.","Hosea: Good Morning, Arthur."
112,"You to Hosea: What's going on, eh?","Hosea: Nothing too much, at this very moment."
113,You to Hosea: Your'e looking good.,Hosea: Thank you.
114,You to Hosea: Good to see.,Hosea: Okay.
115,Action: You go near Hosea.,Hosea: How are you today Arthur.{nod}
116,You to Hosea: Everything okay?,"Hosea: Well, I'm still alive."
117,Action: You go near Hosea.,"Hosea: Good morning, Arthur."
118,You to Hosea: Morning to you too.,Hosea: {fingergun}
119,You to Hosea: What's going on?,"Hosea: Nothing too much, at this very moment."
120,You to Hosea: Mood seem's pretty good around here.,Hosea: It does.
124,"You to Hosea: You just love feeling sorry for yourself, don't you?",Hosea: I'm about the only one who stand's up for around here {annoyed}.
125,You to Hosea: Hey there.,Hosea: Hello.
126,You to Hosea: How are you doing.,Hosea: As well as can be expected.
127,"You to Hosea: I used to really look up to you, Hosea.",Hosea: Is that supposed to be funny.
128,You to Hosea: You miserable old grump.,"Hosea: Why dont we talk about you'r problems, huh?"
129,"You to Susan: I don't know why Dutch keeps you around, Susan.",Susan: Excuse me?{annoyed}
130,"You to Micah: ""Good to see you Micah, you ready to make some money?","Micah: ""You know it, I always am.Just point me in the direction of the nearest mark."
131,"You to Dutch: You're making a mess of everything, Dutch.","Dutch: I know what I'm doing, Arthur.{annoyed}"
132,Action: You stand near Hosea and twirl your revolver.,"Hosea: ""Careful with that, Arthur.It's not a toy.
151,Action: You stand near Dutch.,"Dutch: Is there something on my face?"
133,Action: You pat Hosea on the back after a successful mission.,"Hosea: Good work, Arthur."
135,Action: You walk up to Hosea and start whistling a tune.,"Hosea: That's a catchy tune you got there, Arthur."
136,Action: You stand near Dutch for a while.,Dutch: Back up a bit will you.
137,"Action: You sit down near Dutch and start cleaning your weapon.Dutch: Always good to keep your guns in order.You: Yeah, it's an important part of being an outlaw.","Dutch: True, true."
138,Action: You sit down near Dutch and start cleaning your weapon.,Dutch: Always good to keep your guns in order{fingergun}.
