Unnamed: 0,Prompt,Completion
0,Action: You move past Dutch.,Dutch: Good morning Arthur.{greet}
1,Action: You walk into Dutch.,You: Dont mind me Dutch.
2,Action: You stand near Dutch for a while.,Dutch: Can you give me some room here.
3,Action: You stand near Dutch for a while.,Dutch: Back up a bit will you.{angry}
4,Action: You stand near Dutch for a while.,Dutch: Why are you acting like a fool.{angry}
5,Action: You keep stand near Dutch for a while.,Dutch: You want me to teach you a lesson you'll regret.{threaten}
7,"Narrative: You greet Dutch. You: Feels like we're back on track, more or less. Dutch: Yup. Money and Food, now everyone needs to keep it comming. You: For sure. Narrative: You greet Dutch.","You: Ok, well, lets talk more later. Dutch: Alright Arthur.."
9,"Narrative: You greet Dutch. You: Okay there Dutch? Dutch: Warm, dry, and nobody shooting at me. A marked improvement. You: Indeed. Narrative: You greet Dutch.","You: Well, I should get back to it. Dutch: Okay Arthur."
10,Narrative: You greet Dutch.,"You: You'll work it out Dutch, you always do."
11,Narrative: You greet Dutch.,You: Morning.{greet}
17,"Narrative: You greet Dutch. You: Anything I need to worry about. Dutch: Not right this minute.{greet} Narrative: You antagonize Dutch.You: Cause, you're always worrying me these days. Dutch: I'm not even gonna dignify that with a response. Narrative: You defuse the situation.You: It's all good. Calm down. Dutch: Yeah"," very amusing.{angry}"
21,Narrative: You greet Dutch. You: Any problems. Dutch: Not any new ones. Narrative: You greet Dutch.,"You: Well, that's something ain't it. Dutch: Whatever you say."
26,"Narrative: You greet Dutch. You: You good? Dutch: Just can't seem to get a moment's peace. Narrative: You antagonize Dutch. You: So, what you doing, staring all that time into space. Dutch: Am I sensing ideas above your station again?{angry} Narrative: You defuse the situation.","You: Okay, okay. Don't start pulling rank boss. Dutch: Don't act like someone who I need to pull rank on then."
30,Narrative: You greet Dutch. You: Hope you're working on a plan there. Dutch: Always. Narrative: You antagonize Dutch.,"You: On second thoughts, hope you ain't working on any kind of plan at all. You ain't been having a good streak with those plans of yours. Dutch: Talking back now, are you?"
33,Narrative: You greet Dutch. You: Another day another dollar. Dutch: Yes indeed. Narrative: You antagonize Dutch. You: So no more master plans okay? You're better of without them. Dutch: I'm just impressed you're stringing entire sentences together. Narrative: You defuse the situation.,"You: Alright, simmer down. Dutch: Another bizare attempt at comradery."
36,"Narrative: You antagonize Dutch. You: You know... you could get out there too, Dutch. Dutch: Just remember who you're talking to. Narrative: You antagonize Dutch using Hosea. You: Everyone sees you and Hosea reading. Dutch: Why are you doing this? Narrative: You antagonize Dutch further.","You: Just sends the wrong message, if you ask me. Dutch: Arthur, run away before I do something we both will regret.{threaten}"
42,"Narrative: You antagonize Dutch. You: Uh oh, Dutch is thinking. Dutch: I'm not even gonna dignify that with a response. Narrative: You antagonize Dutch. You: Or maybe you're just staring blankly for effect. Dutch: What are you trying to prove here?{angry} Narrative: You antagonize Dutch.","You: Either way, it aint getting us nowhere. Dutch: Damn child.{walk}"
49,Narrative: You greet Dutch using day.. You: Another day and we are still alive. Dutch: Of course we are. Narrative: You antagonize Dutch.,You: Despite all your best efforts to kill us all. Dutch: Yet you're still here.
50,Action: You walk by Strauss.,"Strauss: Good Morning, Arthur.{greet}"
51,Narrative: You greet Strauss.,You: Good morning to ya.
54,"Narrative: You greet Strauss. You: Bet you never thought you'd end up here, huh. Strauss: I didn't know where I'd end up. Narrative: You greet Strauss.","You: Funny how things turn out. Strauss: Sounds good, Mr. Morgan."
57,"Narrative: You greet Strauss. You: Hey Strauss. Strauss: Good Morning, Arthur.{greet} Narrative: You greet Strauss. You: Keep those books full, now. Strauss: I'm trying. Narrative: You greet Strauss.",You: We need every cent we can get. Strauss: Sounds good Mr. Morgan.
60,Narrative: You greet Strauss. You: Hey Strauss. Strauss: Herr Morgan. Narrative: You greet Strauss. You: Why are you looking so shifty? Strauss: I'm not. Narrative: You greet Strauss.,"You: Okay I guess we'll find out. Strauss: Splendid, Mr. Morgan."
62,"Narrative: You greet Strauss. You: Putting the world to rights there? Strauss: Trying to, Mr. Morgan. Narrative: You greet Strauss.","You: Well, don't let me disturb you. Strauss: Take care, Arthur."
64,Narrative: You greet Strauss. You: Why are you looking so shifty? Strauss: I'm not. Narrative: You greet Strauss.,"You: Okay, I'll guess we find out. Strauss: Sounds good, Mr. Morgan."
65,Narrative: You greet Strauss.,"You: Hello, Mr. Strauss.{greet}"
71,"Narrative: You greet Strauss. You: You ever miss Austria. Strauss: Sometimes, I suppose. Narrative: You antagonize Strauss. You: Cause maybe we'd all be better of if you went there. Strauss: Please don't be like this, Mr. Morgan. Narrative: You defuse the situation. You: I'm just kidding with ya gramps. Strauss: You are a strange man sometimes. Narrative: You greet Strauss.","Don't take it to heat, Strauss. Strauss: I won't, we all have ..off days."
72,Action: You walk by Strauss.,Strauss: Hello Mr. Morgan.{greet}
73,Narrative: You greet Strauss.,You: Good morning to you.
76,"Narrative: You greet Strauss. You: Keep those books full, now. Strauss: I'm trying. Narrative: You antagonize Strauss. You: You sure ain't any other use to us. Strauss: Now there's no need to be rude.{angry} Narrative: You defuse the situation.","You: My bad Strauss, won't happen again. Strauss: Good."
77,Action: You walk by Strauss.,"Strauss: How are you, Mr. Morgan.{greet}"
81,"Narrative: You greet Strauss. You: Good. Narrative: You greet Strauss. You: Putting the world to rights there? Strauss: Trying to, Mr. Morgan. Narrative: You antagonize Strauss. You: Dreaming of a future where everyone's every half man half weasel just like you. Strauss: Now that's a little unfair.{angry} Narrative: You defuse the situation.","You: Okay, okay just testing out my boundaries and your's. Strauss: Then I hope this won't happen again, Mr. Morgan.{walk}"
83,"Narrative: You greet Strauss. You: Bet you never thought you'd end up here, huh. Strauss: I didn't know where I'd end up. Narrative: You antagonize Strauss. You: Luckily you're too much of a coward to ever do it alone. Strauss: I don't want to get into this, please. Narrative: You defuse the situation.","You: Fine fine, can't take a joke can you? Strauss: Just the fact we don't share each others sense of humor, I suppose.{angry}"
84,Action: You walk by Strauss.,Strauss: Hello Arthur.
87,"Narrative: You antagonize Strauss. You: You revolt me. Strauss: I don't want to get into this, please. Narrative: You antagonize Strauss. You: You grasping, money lending, scum. Strauss: What did I ever do to you?{angry} Narrative: You antagonize Strauss.",You: I should slit your throat. Strauss: I will have this talk of murder brought to Dutch I tell you!{walk}
90,"Narrative: You antagonize Strauss.You: Wipe that snooty look off your face for one minute, will you. Strauss: Why so rude. Narrative: You antagonize Strauss. You: You're a vagrant, not an accountant. Strauss: Time's are changing Mr. Morgan. One can not do what we do without handling funds. Narrative: You antagonize Strauss.","You: I swear, you must have callouses from patting your back. Strauss: Leave me be!{walk}"
93,"Narrative: You antagonize Strauss. You: You little bloodsucker. Strauss: Oh no, not this. Narrative: You antagonize Strauss. You: Goddamn leech. Strauss: Just leave me be, will you. Narrative: You antagonize Strauss.",You: Suck us all dry will you. Just like you son. Strauss: Get away from me!{walk}
96,Narrative: You antagonize Strauss. You: You sicken me. Strauss: I don't want to get into this please. Narrative: You antagonize Strauss. You: You foul little wretch. Strauss: Why won't you leave me alone?{angry} Narrative: You antagonize Strauss.,You: We should feed you to the wolves. Strauss: I will report you to Dutch.{walk}
99,"Narrative: You antagonize Strauss. You: Hey Strauss, they call me mean, but you take the prize. Strauss: Now there's no need to be rude. Narrative: You antagonize Strauss. You: If you had a spine, you'd be dangerous. Strauss: Why must you torment me, Arthur. Narrative: You antagonize Strauss.",You: Sadly you're too weak to do your own dirty work. Strauss: Just go away Arthur!{threaten}
101,Narrative: You antagonize Strauss. You: You sicken me. Strauss: Please dont be like this Mr. Morgan. Narrative: You defuse the situation.,"You: Take it easy, I'm just needling you. Strauss: Okay. Em alright then."
103,"Narrative: You antagonize Strauss. You: Wipe that snooty look off your face for one minute, will you. Strauss: Have some class, Arthur.{angry} Narrative: You defuse the situation.","You: Hah. You know what, I think I will. Strauss: Huh?"
104,Narrative: You antagonize Micah.,You: Hey if you're looking for your balls they're back in Blackwater. Micah: You have a stick up your arse? Or think of yourself as such a big man?{angry}
105,Narrative: You antagonize Micah.,You: Just what is your game? Micah: I just hope I ain't your's!
107,"Narrative: You antagonize Micah.You: You creeping no good bastard! Micah: If you got a problem with me, then say it to my face.Narrative: You antagonize Micah.",You: We would all be better of without you here Micah.Micah: Mind your tounge Arthur.{threaten}
110,"Narrative: You antagonize Micah.You: Ah stinks of coward right around here. Micah: You got such a chip on your shoulder don't you?Narrative: You antagonize Micah.You: Drop the tough act it's getting embarrassing. Micah: You think you're really something, don't you?{angry} Narrative: You antagonize Micah.",You: I don't think I have ever been less intimidated Micah: You're rattling the wrong cage.{walk}
112,Narrative: You antagonize Micah.You: You are the creepiest man I know. Micah: Now that ain't nice Morgan.Narrative: You antagonize Micah.,You: And probably the nastiest. Micah: Guess you havn't looked in a mirror lately? 
113,Narrative: You antagonize Micah.,You: What kind of stupid goddamn name is Micah anyhow? Micah: You're one to talk.
114,Narrative: You antagonize Micah.,"You: You've kept your mouth shut for five minutes, that's a new record. Micah: You think you're real funny, don't you?{angry}"
115,Narrative: You antagonize Micah.,"You: Just put the knife away, you ain't impressing no one. Micah: Oh shut up!{angry}"
116,Narrative: You antagonize Micah.,You: Slip and do us a favor. Micah: This is getting real tiring now.{walk}
117,Narrative: You antagonize Micah.,You: Everyone's bored of the tough act now. Micah: You need to back off.
118,Narrative: You antagonize Micah.,"You: Don't smile your face might crack. Micah: Yeah well, look who's talking."
119,Action: Walking up to Micah as it's raining.,"Micah: How're you keepin Morgan with all this rain?You: Fine Micah... and you? Micah: Weather don't worry me. In fact, I like it.You: Funny, I didn't think lizards survived in the mountains.Micah: I like that... must remember that line."
