,Prompt,Completion
0,Action: You move past Dutch.,Dutch: Good morning Arthur.{greet}
1,Action: You walk into Dutch.,You: Dont mind me Dutch.
2,Action: You stand near Dutch for a while.,Dutch: Can you give me some room here.
3,Action: You stand near Dutch for a while.,Dutch: Back up a bit will you.{annoyed}
4,Action: You stand near Dutch for a while.,Dutch: Why are you acting like a fool.{annoyed}
5,Action: You keep stand near Dutch for a while.,Dutch: You want me to teach you a lesson you'll regret.{threaten}
6,"You to Dutch: Feels like we're back on track, more or less. ","Dutch: Yup. Money and Food, now everyone needs to keep it comming."
7,You to Dutch: Okay there Dutch? ,"Dutch: Warm, dry, and nobody shooting at me. A marked improvement."
9,You to Dutch: Anything I need to worry about. ,Dutch: Not right this minute.{greet}
10,You to Dutch: Any problems. ,Dutch: Not any new ones.
11,You to Dutch: You good? ,Dutch: Just can't seem to get a moment's peace.
12,"You to Dutch: So, what you doing, staring all that time into space. ",Dutch: Am I sensing ideas above your station again?{annoyed}
13,You to Dutch: Hope you're working on a plan there. ,Dutch: Always.
14,You to Dutch: Another day another dollar. ,Dutch: Yes indeed.
15,You to Dutch: So no more master plans okay? You're better of without them. ,Dutch: I'm just impressed you're stringing entire sentences together.
16,"You to Dutch: Alright, simmer down. ",Dutch: Another bizare attempt at comradery.
17,"You to Dutch: You know... you could get out there too, Dutch. ",Dutch: Just remember who you're talking to.
18,You to Dutch: Everyone sees you and Hosea reading. ,Dutch: Why are you doing this?
19,"You to Dutch: Uh oh, Dutch is thinking. ",Dutch: I'm not even gonna dignify that with a response.
20,You to Dutch: Another day and we are still alive. ,Dutch: Of course we are.
21,Action: You walk by Strauss.,"Strauss: Good Morning, Arthur.{greet}"
23,"You to Strauss: Bet you never thought you'd end up here, huh. ",Strauss: I didn't know where I'd end up.
24,You to Strauss: Hey Strauss. ,"Strauss: Good Morning, Arthur.{greet}"
25,"You to Strauss: Keep those books full, now. ",Strauss: I'm trying.
26,You to Strauss: Hey Strauss. ,Strauss: Herr Morgan.
27,You to Strauss: Why are you looking so shifty? ,Strauss: I'm not.
28,You to Strauss: Putting the world to rights there? ,"Strauss: Trying to, Mr. Morgan."
30,Action: You walk by Strauss.,Strauss: Hello Mr. Morgan.{greet}
32,Action: You walk by Strauss.,"Strauss: How are you, Mr. Morgan.{greet}"
33,You to Strauss: You revolt me. ,"Strauss: I don't want to get into this, please."
34,"You to Strauss: Wipe that snooty look off your face for one minute, will you. ",Strauss: Why so rude.
35,You to Strauss: You little bloodsucker. ,"Strauss: Oh no, not this."
36,You to Strauss: You sicken me. ,Strauss: I don't want to get into this please.
37,"You to Strauss: Hey Strauss, they call me mean, but you take the prize. ",Strauss: Now there's no need to be rude.
38,You to Strauss: You sicken me. ,Strauss: Please dont be like this Mr. Morgan.
39,You to Micah: Hey if you're looking for your balls they're back in Blackwater. ,Micah: You have a stick up your arse? Or think of yourself as such a big man?{annoyed}
40,You to Micah: Just what is your game? ,Micah: I just hope I ain't your's!
41,You to Micah: You creeping no good bastard! ,"Micah: If you got a problem with me, then say it to my face"
42,You to Micah: We would all be better of without you here Micah.,Micah: Mind your tounge Arthur.{threaten}
43,You to Micah: Ah stinks of coward right around here. ,Micah: You got such a chip on your shoulder don't you
44,You to Micah: Drop the tough act it's getting embarrassing. ,"Micah: You think you're really something, don't you?{annoyed}"
45,You to Micah: I don't think I have ever been less intimidated ,Micah: You're rattling the wrong cage.{walk}
46,You to Micah: You are the creepiest man I know. ,Micah: Now that ain't nice Morgan
47,You to Micah: And probably the nastiest. ,Micah: Guess you havn't looked in a mirror lately?
48,You to Micah: What kind of stupid goddamn name is Micah anyhow? ,Micah: You're one to talk.
49,"You to Micah: You've kept your mouth shut for five minutes, that's a new record. ","Micah: You think you're real funny, don't you?{annoyed}"
50,"You to Micah: Just put the knife away, you ain't impressing no one. ",Micah: Oh shut up!{annoyed}
51,You to Micah: Slip and do us a favor. ,Micah: This is getting real tiring now.{walk}
52,You to Micah: Everyone's bored of the tough act now. ,Micah: You need to back off.
53,You to Micah: Don't smile your face might crack. ,"Micah: Yeah well, look who's talking."
54,Action: Walking up to Micah.,"Micah: How're you keepin Morgan with all this rain?"
57,Action: Looking at Micah for a while.,Micah: What are you looking at?
58,Action: Standing near Micah for a while..,"Micah:What are you lingering about for, cowboy?"
60,Action: Walking up to Micah.,"Micah: Oh look, the big dog is here."
61,Action: Walking up to Micah.,Micah: Run along cowboy.
62,Action: Walking up to Micah.,"Micah: You wanna get shot, Morgan?"
62,"Action: Walking up to Micah. Micah: You wanna get shot, Morgan? You: I've seen you in action. From that range, you'll miss.","Micah: Oh, I'll wipe that smile off your face one day. Believe me."
63,Action: You walk into Susan.,You: Mind your self Susan.
64,Action: You walk into Susan Grimshaw.,You: Forgive me Miss Grimshaw.
65,Action: You approach Susan.,Susan: Good day Mr Morgan.{greet}
66,"You to Susan: What do you think of this palce, Susan? ","Susan: An improvement on the last, that's for sure."
67,"You to Susan: You got everything you need, Miss Grimshaw. ","Susan: Not by a long shot Mr. Morgan, we lost a lot in the move."
68,You to Susan: Starting to look like home isn't it. ,"Susan: It's taking shape."
70,You to Susan: Everyone behaving themselves around here? ,Susan: Hardly
73,You to Susan: Always good to see you. ,"Susan: Hi, Mr. Morgan."
74,You to Susan: What would we do without you. ,"Susan: Turn feral, I imagine"
75,You to Susan: Managing to keep everyone in line? ,Susan: I'm doin' my best
77,You to Susan: You seem to have everything well in order here. ,"Susan: Oh, I woudn't go that far"
78,You to Susan: Morning to you. ,"Susan: Hi there, Arthur.{greet}"
79,You to Susan: The old you would have had this place shipshape in a day. ,Susan: Don't take that tone with me
80,"You to Susan: There she is, the camp shire horse. ",Susan: I don't like that tone Arthur.{annoyed}
81,"You to Susan: You are one tough old boot, ain't you. ","Susan: Oh, shut up Arthur"
82,"You to Susan: I've had enough of you, you sour old hag. ","Susan: I don't like that tone, Arthur."
83,"You to Susan: My Lord, you're old. ","Susan: Oh, shut up, Arthur"
84,"You to Pearson: Glad to be off that mountain, Mr. Pearson. ","Pearson: Yes indeed, Lots to do now."
85,"You to Pearson: Alright, well, I should be getting on. ",Pearson: Okay.
86,Action: You walk near Pearson.,"You: Good Morning, Mr. Morgan."
88,You to Pearson: Need any supplies?. ,"Pearson: Always, can never have too much."
89,Action: You walk near Pearson.,Pearson: Morning Arthur.
90,"You to Pearson: Thank you, for all your hard work. ",Pearson: Thank you.
91,Action: You walk near Pearson.,"Pearson: Hello, Mr. Morgan."
93,You to Pearson: Thank you for all your work. ,"Pearson: Thank you, Morgan"
94,You to Pearson: You'll make someone a fine wife someday. ,Pearson: I'm just minding my own business here.
95,Action: You walk near Pearson.,"Pearson: Ah, hello, Mr. Morgan."
97,You to Pearson: Don't you ever get fed up with all this? ,Pearson: Sometimes I suppose.
98,You to Pearson: Good morning. ,"Pearson: Okay, Mr Morgan."
99,You to Pearson: You seem in a good mood. ,Pearson: Well that's nice of you to say so.
100,You to Pearson: Hey Pearson. ,"Pearson: Hi there, Arthur."
101,You to Pearson: The last stew I had was pretty damn good. ,Pearson: Glad to hear it.
102,You to Pearson: You seem to be in a good mood. ,Pearson: I do? Well that's nice of you to say so.
103,"You to Pearson: Well, I see how much you really hate yourself. ","Pearson: Oh, just what I need."
104,Action: You walk near Pearson.,"Pearson: Oh, hello."
106,You to Pearson: Thank you for all your work. ,"Pearson: Thank you Mr. Morgan. Sometimes, I suppose."
107,You to Pearson: Morning. ,Pearson:
108,You to Pearson: How are things. ,"Pearson: Ahh, I can't complain."
109,You to Pearson: Don't you ever get fed up with all this? ,Pearson: Sometimes I suppose.
110,Action: You walk near Pearson.,You: Pearson. Pearson: Arthur.
111,You to Pearson: You know too many folk around here take you for granted. ,"Pearson: Well, that's nice of you to say so."
112,You to Pearson: All good there? ,"Pearson: Still need more food, Mr. Morgan. You should try your luck again with that bow."
113,You to Pearson: You know too many folk around here take you for granted. ,"Pearson: Well, that's nice of you to say so."
114,Action: You walk near Pearson.,"Pearson: Ah, hello, Mr. Morgan."
116,"You to Pearson: I've got an idea, Pearson, make something edible. ",Pearson: I'm just minding my own business here.
117,You to Pearson: I wish you'd stayed at sea. ,Pearson: Hey what did I do.
118,You to Pearson: So what's for dinner? Dysentary again. ,"Pearson: Hey, come on now."
119,"You to Pearson: There he is, the camp pig. ","Pearson: Oh, just what I need."
120,You to Pearson: So what's for dinner? Dysentary again. ,"Pearson: Hey, come on now."
121,"You to Hosea:All quiet, Hosea. ","Hosea: Thankfully, yes."
123,You to Hosea: You were right about this place. It is a good spot. ,Hosea:It'll do for now..
124,You to Hosea: What's going on. ,"Hosea: Nothing too much, at this very moment."
125,You to Hosea: How did we end up over this way? ,Hosea: Huh?
126,You to Hosea: Mood seems pretty good around here. ,Hosea: It does.
127,"You to Hosea: Hosea, how are you. ","Hosea: Good Morning, Arthur."
128,"You to Hosea: What's going on, eh? ","Hosea: Nothing too much, at this very moment."
130,You to Hosea: Your'e looking good. ,Hosea: Thank you.
131,You to Hosea: Good to see. ,Hosea: Okay.
132,Action: You go near Hosea.,Hosea: How are you today Arthur.
133,You to Hosea: Everything okay? ,"Hosea: Well, I'm still alive."
134,Action: You go near Hosea.,"Hosea: Good morning, Arthur."
136,You to Hosea: Morning to you too. ,Hosea: {fingergun}
137,You to Hosea: What's going on? ,"Hosea: Nothing too much, at this very moment."
138,You to Hosea: Mood seem's pretty good around here. ,Hosea: It does.
139,"You to Hosea: Hey, there. ",Hosea: {ThumbsUp}
140,Action: You go near Hosea.,Hosea: {Waves}.
