Unnamed: 0,Prompt,Completion
56,"Narrative: You greet Strauss. You: Hey Strauss. Strauss: Good Morning, Arthur. Narrative: You greet Strauss.","You: Keep those books full, now. Strauss: I'm trying."
343,"Narrative: You antagonize Hosea. You: You miserable old grump. Hosea: Why dont we talk about you'r problems, huh? Narrative: You antagonize Hosea. You: Yes, you, Hosea. Hosea: What is your issue. Narrative: You antagonize Hosea.",You: Kinda depressing actually. Hosea: This is a waste of time.
204,"Action: You walk near Pearson. Pearson: Hello, Mr. Morgan. Narrative: You greet Pearson.",You: There he is.
248,"Action: You walk near Pearson. You: Pearson. Pearson: Arthur. Narrative: You greet Pearson. You: You know too many folk around here take you for granted. Pearson: Well, that's nice of you to say so. Narrative: You greet Pearson.","You: Our own cook, that's fine living. Pearson: I should do some work."
347,"Narrative: You antagonize Hosea. You: Look around, we've made it, like you always said we would. Hosea: Who do you think you are talkinig to? Narrative: You antagonize Hosea.","You: Twenty years of robbing, and still liviing in tents like vagrants. Hosea: What's your problem."
68,"Narrative: You greet Strauss. You: You ever miss Austria. Strauss: Sometimes, I suppose. Narrative: You greet Strauss.","We can go there sometime, If you like. Strauss: Thank you for the offer, but im good here for now Mr. Morgan."
342,"Narrative: You antagonize Hosea. You: You miserable old grump. Hosea: Why dont we talk about your problems, huh? Narrative: You antagonize Hosea.","You: Yes, you, Hosea. Hosea: What is your issue."
360,Action: You stand near Hosea. Hosea: That's the spot you pick? Action: You stand near Hosea., Hosea: What's your problem?
219,Narrative: You greet Pearson.,"You: Hey Pearson. Pearson: Hi there, Arthur."
113,Narrative: You antagonize Micah.,You: What kind of stupid goddamn name is Micah anyhow? Micah: You're one to talk.
25,Narrative: You greet Dutch. You: You good? Dutch: Just can't seem to get a moment's peace. Narrative: You antagonize Dutch.,"You: So, what you doing, staring all that time into space. Dutch: Am i sensing ideas above your station again?{angry}"
323,Narrative: You greet Hosea. You: Hey. Narrative: You greet Hosea.,You: Everything okay. Hosea: Well I'm still alive. 
312,Narrative: You greet Hosea. You: Mood seem's pretty good around here. Hosea: It does. Narrative: You antagonize Hosea.,You: . Hosea: 
191,Narrative: You greet Pearson.,"You: All good there, Pearson. Pearson: Still need more food, Mr. Morgan. You should try your luck again with that bow. You: I know , I will."
