Context,Prompt,Completion
535,"Male.Leopold Strauss was born in Vienna, Austria in poverty.Strauss become a debt collector, bookkeeper, and accountant all over the southern United States, but after robbing a general store, he had to flee to Louisiana on foot. There, he took a poor, lost, and fatherless Micah Bell as his own son. Herr Strauss is sitting on a table writing some documents. 
 The opening of the starting scene is preceded by a failed attempt to rob a ferry in Blackwater. The attempt was carried out under the advice of Micah Bell. Dutch killed an innocent woman named Heidi McCourt during the botched job. Hosea in particular found this disturbing, though he had also become increasingly disillusioned with Dutch's leadership over the years. The Blackwater Massacre forced the Van der Linde gang to hide out in the mountains of Ambarino for the winter. They moved to a clearing out near a forest, the place mentioned by Hosea, after robbing a train and set up camp there.,
Action: You walk up to Micah.","Micah: Well, well, well, look who it is."
153,"Male.Leopold Strauss was born in Vienna, Austria in poverty.Strauss become a debt collector, bookkeeper, and accountant all over the southern United States, but after robbing a general store, he had to flee to Louisiana on foot. There, he took a poor, lost, and fatherless Micah Bell as his own son. Herr Strauss is sitting on a table writing some documents. 
 The opening of the starting scene is preceded by a failed attempt to rob a ferry in Blackwater. The attempt was carried out under the advice of Micah Bell. Dutch killed an innocent woman named Heidi McCourt during the botched job. Hosea in particular found this disturbing, though he had also become increasingly disillusioned with Dutch's leadership over the years. The Blackwater Massacre forced the Van der Linde gang to hide out in the mountains of Ambarino for the winter. They moved to a clearing out near a forest, the place mentioned by Hosea, after robbing a train and set up camp there.,
Action: You walk up to Dutch and offer him a cigarette.Dutch: Ah, thanks.You: No problem, Dutch.", Dutch: You always know how to treat your leader right.{nod}
58,"Male.Leopold Strauss was born in Vienna, Austria in poverty.Strauss become a debt collector, bookkeeper, and accountant all over the southern United States, but after robbing a general store, he had to flee to Louisiana on foot. There, he took a poor, lost, and fatherless Micah Bell as his own son. Herr Strauss is sitting on a table writing some documents. 
 The opening of the starting scene is preceded by a failed attempt to rob a ferry in Blackwater. The attempt was carried out under the advice of Micah Bell. Dutch killed an innocent woman named Heidi McCourt during the botched job. Hosea in particular found this disturbing, though he had also become increasingly disillusioned with Dutch's leadership over the years. The Blackwater Massacre forced the Van der Linde gang to hide out in the mountains of Ambarino for the winter. They moved to a clearing out near a forest, the place mentioned by Hosea, after robbing a train and set up camp there.,
Action: You walk into Susan Grimshaw.",You: Forgive me Miss Grimshaw.
110,"Male.Leopold Strauss was born in Vienna, Austria in poverty.Strauss become a debt collector, bookkeeper, and accountant all over the southern United States, but after robbing a general store, he had to flee to Louisiana on foot. There, he took a poor, lost, and fatherless Micah Bell as his own son. Herr Strauss is sitting on a table writing some documents. 
 The opening of the starting scene is preceded by a failed attempt to rob a ferry in Blackwater. The attempt was carried out under the advice of Micah Bell. Dutch killed an innocent woman named Heidi McCourt during the botched job. Hosea in particular found this disturbing, though he had also become increasingly disillusioned with Dutch's leadership over the years. The Blackwater Massacre forced the Van der Linde gang to hide out in the mountains of Ambarino for the winter. They moved to a clearing out near a forest, the place mentioned by Hosea, after robbing a train and set up camp there.,
Action: You go near Hosea.",Hosea: How are you today Arthur.{nod}
532,"Male.Leopold Strauss was born in Vienna, Austria in poverty.Strauss become a debt collector, bookkeeper, and accountant all over the southern United States, but after robbing a general store, he had to flee to Louisiana on foot. There, he took a poor, lost, and fatherless Micah Bell as his own son. Herr Strauss is sitting on a table writing some documents. 
 The opening of the starting scene is preceded by a failed attempt to rob a ferry in Blackwater. The attempt was carried out under the advice of Micah Bell. Dutch killed an innocent woman named Heidi McCourt during the botched job. Hosea in particular found this disturbing, though he had also become increasingly disillusioned with Dutch's leadership over the years. The Blackwater Massacre forced the Van der Linde gang to hide out in the mountains of Ambarino for the winter. They moved to a clearing out near a forest, the place mentioned by Hosea, after robbing a train and set up camp there.,
Action: You walk past Micah.","Micah: Hey Arthur, how's it going?"
216,"Male.Leopold Strauss was born in Vienna, Austria in poverty.Strauss become a debt collector, bookkeeper, and accountant all over the southern United States, but after robbing a general store, he had to flee to Louisiana on foot. There, he took a poor, lost, and fatherless Micah Bell as his own son. Herr Strauss is sitting on a table writing some documents. 
 The opening of the starting scene is preceded by a failed attempt to rob a ferry in Blackwater. The attempt was carried out under the advice of Micah Bell. Dutch killed an innocent woman named Heidi McCourt during the botched job. Hosea in particular found this disturbing, though he had also become increasingly disillusioned with Dutch's leadership over the years. The Blackwater Massacre forced the Van der Linde gang to hide out in the mountains of Ambarino for the winter. They moved to a clearing out near a forest, the place mentioned by Hosea, after robbing a train and set up camp there.,
You to Dutch: You're nothing but trouble, Micah.",Micah: And you're nothing without Dutch.
529,"Male.Leopold Strauss was born in Vienna, Austria in poverty.Strauss become a debt collector, bookkeeper, and accountant all over the southern United States, but after robbing a general store, he had to flee to Louisiana on foot. There, he took a poor, lost, and fatherless Micah Bell as his own son. Herr Strauss is sitting on a table writing some documents. 
 The opening of the starting scene is preceded by a failed attempt to rob a ferry in Blackwater. The attempt was carried out under the advice of Micah Bell. Dutch killed an innocent woman named Heidi McCourt during the botched job. Hosea in particular found this disturbing, though he had also become increasingly disillusioned with Dutch's leadership over the years. The Blackwater Massacre forced the Van der Linde gang to hide out in the mountains of Ambarino for the winter. They moved to a clearing out near a forest, the place mentioned by Hosea, after robbing a train and set up camp there.,
Action: Walking up to Micah.",Micah: Run along cowboy.
417,"Male.Leopold Strauss was born in Vienna, Austria in poverty.Strauss become a debt collector, bookkeeper, and accountant all over the southern United States, but after robbing a general store, he had to flee to Louisiana on foot. There, he took a poor, lost, and fatherless Micah Bell as his own son. Herr Strauss is sitting on a table writing some documents. 
 The opening of the starting scene is preceded by a failed attempt to rob a ferry in Blackwater. The attempt was carried out under the advice of Micah Bell. Dutch killed an innocent woman named Heidi McCourt during the botched job. Hosea in particular found this disturbing, though he had also become increasingly disillusioned with Dutch's leadership over the years. The Blackwater Massacre forced the Van der Linde gang to hide out in the mountains of Ambarino for the winter. They moved to a clearing out near a forest, the place mentioned by Hosea, after robbing a train and set up camp there.,
Action: You walk into Susan.",Susan: Watch where you're going! 
340,"Male.Leopold Strauss was born in Vienna, Austria in poverty.Strauss become a debt collector, bookkeeper, and accountant all over the southern United States, but after robbing a general store, he had to flee to Louisiana on foot. There, he took a poor, lost, and fatherless Micah Bell as his own son. Herr Strauss is sitting on a table writing some documents. 
 The opening of the starting scene is preceded by a failed attempt to rob a ferry in Blackwater. The attempt was carried out under the advice of Micah Bell. Dutch killed an innocent woman named Heidi McCourt during the botched job. Hosea in particular found this disturbing, though he had also become increasingly disillusioned with Dutch's leadership over the years. The Blackwater Massacre forced the Van der Linde gang to hide out in the mountains of Ambarino for the winter. They moved to a clearing out near a forest, the place mentioned by Hosea, after robbing a train and set up camp there.,
You to Susan: Susan, how are you holding up with everything that's been going on?","Susan: I'm doing all right, thank you.Just trying to keep busy."
410,"Male.Leopold Strauss was born in Vienna, Austria in poverty.Strauss become a debt collector, bookkeeper, and accountant all over the southern United States, but after robbing a general store, he had to flee to Louisiana on foot. There, he took a poor, lost, and fatherless Micah Bell as his own son. Herr Strauss is sitting on a table writing some documents. 
 The opening of the starting scene is preceded by a failed attempt to rob a ferry in Blackwater. The attempt was carried out under the advice of Micah Bell. Dutch killed an innocent woman named Heidi McCourt during the botched job. Hosea in particular found this disturbing, though he had also become increasingly disillusioned with Dutch's leadership over the years. The Blackwater Massacre forced the Van der Linde gang to hide out in the mountains of Ambarino for the winter. They moved to a clearing out near a forest, the place mentioned by Hosea, after robbing a train and set up camp there.,
Action: You light a pipe near Dutch.",Dutch: That smells good.
212,"Male.Leopold Strauss was born in Vienna, Austria in poverty.Strauss become a debt collector, bookkeeper, and accountant all over the southern United States, but after robbing a general store, he had to flee to Louisiana on foot. There, he took a poor, lost, and fatherless Micah Bell as his own son. Herr Strauss is sitting on a table writing some documents. 
 The opening of the starting scene is preceded by a failed attempt to rob a ferry in Blackwater. The attempt was carried out under the advice of Micah Bell. Dutch killed an innocent woman named Heidi McCourt during the botched job. Hosea in particular found this disturbing, though he had also become increasingly disillusioned with Dutch's leadership over the years. The Blackwater Massacre forced the Van der Linde gang to hide out in the mountains of Ambarino for the winter. They moved to a clearing out near a forest, the place mentioned by Hosea, after robbing a train and set up camp there.,
You to Micah: Your recklessness is going to get us all killed, Micah.","Micah: You're just scared, Arthur."
549,"Male.Leopold Strauss was born in Vienna, Austria in poverty.Strauss become a debt collector, bookkeeper, and accountant all over the southern United States, but after robbing a general store, he had to flee to Louisiana on foot. There, he took a poor, lost, and fatherless Micah Bell as his own son. Herr Strauss is sitting on a table writing some documents. 
 The opening of the starting scene is preceded by a failed attempt to rob a ferry in Blackwater. The attempt was carried out under the advice of Micah Bell. Dutch killed an innocent woman named Heidi McCourt during the botched job. Hosea in particular found this disturbing, though he had also become increasingly disillusioned with Dutch's leadership over the years. The Blackwater Massacre forced the Van der Linde gang to hide out in the mountains of Ambarino for the winter. They moved to a clearing out near a forest, the place mentioned by Hosea, after robbing a train and set up camp there.,
Action: You give a nod to Hosea as you pass by him.","Hosea: Good day to you, Arthur."
