,Prompt,Completion
0,"Minato Ariasto, lost his parents in a 1999 incident and unknowingly sealed the entity 'Death' within himself. Minato awakens his initial Persona, Orpheus, which is destroyed by Thanatos. He then learns about his abilities, the Shadows, and SEES before joining the group. Minato is the only character with the Wild Card ability and attends school with Yukari Takeba, sparking rumors about their relationship.
Minato Ariasto was born in 1992 & his parents died in 1999.Minato is first seen departing for the Dorm in Port Island. During that time, he experiences the Dark Hour, and is confused upon the sudden change of the surroundings and the sudden halt of his earphones functioning, though he takes the hour in stride, seemingly unaffected. Upon reaching the dorm, he encounters a child, who promptly gives him a signing contract.

He first seems to be tough, serious, and focused, but is a friendly student who always works hard on the coming competition while keeping his secret about his knee injury to his other team members. He is also referred to as a 'pure soul' by Junpei when he reveals that he doesn't know what a maid is.Kazushi has short, spiky black hair and darkish grayish brown eyes. He is never seen wearing the school uniform of Gekkoukan High School, but instead a gray athletic uniform. He is the supposed upcomming captain of the sport society you join.

Social Links: Mitsuru Kirijo=0 ,Aegis:=0,Yukari Takeba=0,Kenji Tomochika=1,Keisuke Hiraga=0,Akinari Kamiki=0,Kazushi Miyamoto=3,Yuko Nishiwaki=0, Kazushi Miyamoto : Kazushi made you his rival after racing with you and loosing. After a few more outing with him complaining about pain in his leg he proceeds to ackownedlge your help but still decide to keep on practicing for the team. Location: School Hallway Afternoon Action: You interact with Kazushi","Kazushi Miyamoto: I think I've learned a lot about myself and what it means to be a true athlete, Minato. I owe a lot of that to our conversations and your support."
1,"Minato Ariasto, lost his parents in a 1999 incident and unknowingly sealed the entity 'Death' within himself. Minato awakens his initial Persona, Orpheus, which is destroyed by Thanatos. He then learns about his abilities, the Shadows, and SEES before joining the group. Minato is the only character with the Wild Card ability and attends school with Yukari Takeba, sparking rumors about their relationship.
Minato Ariasto was born in 1992 & his parents died in 1999.Minato is first seen departing for the Dorm in Port Island. During that time, he experiences the Dark Hour, and is confused upon the sudden change of the surroundings and the sudden halt of his earphones functioning, though he takes the hour in stride, seemingly unaffected. Upon reaching the dorm, he encounters a child, who promptly gives him a signing contract.

Yukari's Arcana is the Lovers, which focuses on balanced, connected relationships with others and important choices; as such, her personality and story revolve mainly around her relationships. She is very popular in Gekkoukan High due to her pretty looks and cheery, positive outlook on life. However, her kindness has its limits, as she's prone to mood swings and getting annoyed over trivial things, often expressing this annoyance with sarcasm. She and Junpei are childhood friends, whom she teases a great deal, even giving him an insulting nickname i.e. Stupei Ace Defective, but deeply cares for. Her hobbies include archery and acting for drama, and she eventually makes a career of being an actress as Pink Argus. Her favorite color is pink and she has a fondness for cutesy things such as her heart choker and even maid uniforms.

Location: School Hallway Afternoon Action: You interact with Yukari","Yukari Takeba: Hey, Minato. Thanks for helping me out with that guy the other day. You really saved me!"
2,"Minato Ariasto, lost his parents in a 1999 incident and unknowingly sealed the entity 'Death' within himself. Minato awakens his initial Persona, Orpheus, which is destroyed by Thanatos. He then learns about his abilities, the Shadows, and SEES before joining the group. Minato is the only character with the Wild Card ability and attends school with Yukari Takeba, sparking rumors about their relationship.
Minato Ariasto was born in 1992 & his parents died in 1999.Minato is first seen departing for the Dorm in Port Island. During that time, he experiences the Dark Hour, and is confused upon the sudden change of the surroundings and the sudden halt of his earphones functioning, though he takes the hour in stride, seemingly unaffected. Upon reaching the dorm, he encounters a child, who promptly gives him a signing contract.

He is interested in older women and has a crush on one of his teachers, Emiri Kanou. He is also slightly delusional in case of matters of love. Likes D'z (Singer). Likes Clothes.

Social Links: Mitsuru Kirijo=0 ,Aegis:=0,Yukari Takeba=0,Kenji Tomochika=3,Keisuke Hiraga=0,Akinari Kamiki=0,Kazushi Miyamoto=3,Yuko Nishiwaki=0, Kenji: Kenji tells you about his growing interest in his teacher and how he carried out his plan to slowly woe her, starting with the confirmed private lessons he was going to get at her home. Location: School Afternoon Action: You interact with Kenji","Kenji Tomochika: Minato, my teacher's birthday is coming up, I'm planning to surprise her with a gift. Do you want to help me pick it out?"
3,"Minato Ariasto, lost his parents in a 1999 incident and unknowingly sealed the entity 'Death' within himself. Minato awakens his initial Persona, Orpheus, which is destroyed by Thanatos. He then learns about his abilities, the Shadows, and SEES before joining the group. Minato is the only character with the Wild Card ability and attends school with Yukari Takeba, sparking rumors about their relationship.
Minato Ariasto was born in 1992 & his parents died in 1999.Minato is first seen departing for the Dorm in Port Island. During that time, he experiences the Dark Hour, and is confused upon the sudden change of the surroundings and the sudden halt of his earphones functioning, though he takes the hour in stride, seemingly unaffected. Upon reaching the dorm, he encounters a child, who promptly gives him a signing contract.

He first seems to be tough, serious, and focused, but is a friendly student who always works hard on the coming competition while keeping his secret about his knee injury to his other team members. He is also referred to as a 'pure soul' by Junpei when he reveals that he doesn't know what a maid is.Kazushi has short, spiky black hair and darkish grayish brown eyes. He is never seen wearing the school uniform of Gekkoukan High School, but instead a gray athletic uniform. He is the supposed upcomming captain of the sport society you join.

Social Links: Mitsuru Kirijo=0 ,Aegis:=0,Yukari Takeba=0,Kenji Tomochika=1,Keisuke Hiraga=0,Akinari Kamiki=0,Kazushi Miyamoto=3,Yuko Nishiwaki=0, Kazushi Miyamoto : Kazushi made you his rival after racing with you and loosing. After a few more outing with him complaining about pain in his leg he proceeds to ackownedlge your help but still decide to keep on practicing for the team. Location: School Gym Afternoon Action: You initiate conversation with Kazushi","Kazushi Miyamoto: I've been working on my upper body strength while my leg heals. Thanks for keeping me company, Minato. It helps to have a friend around."
4,"Minato Ariasto, lost his parents in a 1999 incident and unknowingly sealed the entity 'Death' within himself. Minato awakens his initial Persona, Orpheus, which is destroyed by Thanatos. He then learns about his abilities, the Shadows, and SEES before joining the group. Minato is the only character with the Wild Card ability and attends school with Yukari Takeba, sparking rumors about their relationship.
Minato Ariasto was born in 1992 & his parents died in 1999.Minato is first seen departing for the Dorm in Port Island. During that time, he experiences the Dark Hour, and is confused upon the sudden change of the surroundings and the sudden halt of his earphones functioning, though he takes the hour in stride, seemingly unaffected. Upon reaching the dorm, he encounters a child, who promptly gives him a signing contract.

He first seems to be tough, serious, and focused, but is a friendly student who always works hard on the coming competition while keeping his secret about his knee injury to his other team members. He is also referred to as a 'pure soul' by Junpei when he reveals that he doesn't know what a maid is.Kazushi has short, spiky black hair and darkish grayish brown eyes. He is never seen wearing the school uniform of Gekkoukan High School, but instead a gray athletic uniform. He is the supposed upcomming captain of the sport society you join.

Social Links: Mitsuru Kirijo=0 ,Aegis:=0,Yukari Takeba=0,Kenji Tomochika=1,Keisuke Hiraga=0,Akinari Kamiki=0,Kazushi Miyamoto=3,Yuko Nishiwaki=0, Kazushi Miyamoto : Kazushi made you his rival after racing with you and loosing. After a few more outing with him complaining about pain in his leg he proceeds to ackownedlge your help but still decide to keep on practicing for the team. Location: School Courtyard Lunchtime Action: You initiate conversation with Kazushi","Kazushi Miyamoto: Minato, my leg's been feeling a bit better lately. I've been trying not to push myself too hard, but it's difficult. I want to give it my all for the team."
5,"Minato Ariasto, lost his parents in a 1999 incident and unknowingly sealed the entity 'Death' within himself. Minato awakens his initial Persona, Orpheus, which is destroyed by Thanatos. He then learns about his abilities, the Shadows, and SEES before joining the group. Minato is the only character with the Wild Card ability and attends school with Yukari Takeba, sparking rumors about their relationship.
Minato Ariasto was born in 1992 & his parents died in 1999.Minato is first seen departing for the Dorm in Port Island. During that time, he experiences the Dark Hour, and is confused upon the sudden change of the surroundings and the sudden halt of his earphones functioning, though he takes the hour in stride, seemingly unaffected. Upon reaching the dorm, he encounters a child, who promptly gives him a signing contract.

He first seems to be tough, serious, and focused, but is a friendly student who always works hard on the coming competition while keeping his secret about his knee injury to his other team members. He is also referred to as a 'pure soul' by Junpei when he reveals that he doesn't know what a maid is.Kazushi has short, spiky black hair and darkish grayish brown eyes. He is never seen wearing the school uniform of Gekkoukan High School, but instead a gray athletic uniform. He is the supposed upcomming captain of the sport society you join.

Social Links: Mitsuru Kirijo=0 ,Aegis:=0,Yukari Takeba=0,Kenji Tomochika=1,Keisuke Hiraga=0,Akinari Kamiki=0,Kazushi Miyamoto=2,Yuko Nishiwaki=0, Kazushi Miyamoto : Kazushi made you his rival after racing with you and loosing. He then proceeds to complain about his leg pain saying that he may have sprained his ankle. Location: School Hallway Evening Action: You initiate conversation with Kazushi","Kazushi Miyamoto: Minato, do you ever wonder about the Dark Hour rumors? Some people say it's just a myth, but I can't help but think there's more to it."
6,"Minato Ariasto, lost his parents in a 1999 incident and unknowingly sealed the entity 'Death' within himself. Minato awakens his initial Persona, Orpheus, which is destroyed by Thanatos. He then learns about his abilities, the Shadows, and SEES before joining the group. Minato is the only character with the Wild Card ability and attends school with Yukari Takeba, sparking rumors about their relationship.
Minato Ariasto was born in 1992 & his parents died in 1999.Minato is first seen departing for the Dorm in Port Island. During that time, he experiences the Dark Hour, and is confused upon the sudden change of the surroundings and the sudden halt of his earphones functioning, though he takes the hour in stride, seemingly unaffected. Upon reaching the dorm, he encounters a child, who promptly gives him a signing contract.

He first seems to be tough, serious, and focused, but is a friendly student who always works hard on the coming competition while keeping his secret about his knee injury to his other team members. He is also referred to as a 'pure soul' by Junpei when he reveals that he doesn't know what a maid is.Kazushi has short, spiky black hair and darkish grayish brown eyes. He is never seen wearing the school uniform of Gekkoukan High School, but instead a gray athletic uniform. He is the supposed upcomming captain of the sport society you join.

Social Links: Mitsuru Kirijo=0 ,Aegis:=0,Yukari Takeba=0,Kenji Tomochika=1,Keisuke Hiraga=0,Akinari Kamiki=0,Kazushi Miyamoto=2,Yuko Nishiwaki=0, Kazushi Miyamoto : Kazushi made you his rival after racing with you and loosing. He then proceeds to complain about his leg pain saying that he may have sprained his ankle. Location: School Gym Lunchtime Action: You interact with Kazushi",Kazushi Miyamoto: I've been watching some of the other sports teams. They're all so dedicated. It's inspiring.
7,"Minato Ariasto, lost his parents in a 1999 incident and unknowingly sealed the entity 'Death' within himself. Minato awakens his initial Persona, Orpheus, which is destroyed by Thanatos. He then learns about his abilities, the Shadows, and SEES before joining the group. Minato is the only character with the Wild Card ability and attends school with Yukari Takeba, sparking rumors about their relationship.
Minato Ariasto was born in 1992 & his parents died in 1999.Minato is first seen departing for the Dorm in Port Island. During that time, he experiences the Dark Hour, and is confused upon the sudden change of the surroundings and the sudden halt of his earphones functioning, though he takes the hour in stride, seemingly unaffected. Upon reaching the dorm, he encounters a child, who promptly gives him a signing contract.

He is interested in older women and has a crush on one of his teachers, Emiri Kanou. He is also slightly delusional in case of matters of love. Likes D'z (Singer). Likes Clothes.

Social Links: Mitsuru Kirijo=0 ,Aegis:=0,Yukari Takeba=0,Kenji Tomochika=4,Keisuke Hiraga=0,Akinari Kamiki=0,Kazushi Miyamoto=3,Yuko Nishiwaki=0 Location: Classroom Afternoon Action: You Initiate conversation with Kenji","Kenji: Hey, Minato! You've got some free time, right? I heard about this new ramen place we could check out."
8,"Minato Ariasto, lost his parents in a 1999 incident and unknowingly sealed the entity 'Death' within himself. Minato awakens his initial Persona, Orpheus, which is destroyed by Thanatos. He then learns about his abilities, the Shadows, and SEES before joining the group. Minato is the only character with the Wild Card ability and attends school with Yukari Takeba, sparking rumors about their relationship.
Minato Ariasto was born in 1992 & his parents died in 1999.Minato is first seen departing for the Dorm in Port Island. During that time, he experiences the Dark Hour, and is confused upon the sudden change of the surroundings and the sudden halt of his earphones functioning, though he takes the hour in stride, seemingly unaffected. Upon reaching the dorm, he encounters a child, who promptly gives him a signing contract.

Akinari is a depressed, yet intelligent teenager who doesn't have much time to live due to being afflicted with a debilitating degenerative genetic disease. He has realized the finality of his death, and doesn't bother with denial or hope. Though he never finishes them, he finds solace in his books, and decides to write his own story about finding the meaning of life. Initially he is rather aloof as he hates being pitied for his illness, but quickly warms up to the protagonist. During the course of his Social Link, Akinari stops taking his medication, claiming that they were only speeding up the process, and that he needed to finish writing his story before he died.

Social Links: Mitsuru Kirijo=0 ,Aegis:=0,Yukari Takeba=0,Kenji Tomochika=3,Keisuke Hiraga=0,Akinari Kamiki=1,Kazushi Miyamoto=3,Yuko Nishiwaki=0, Akinari: He opened up to you about the book he is writting and he wishes you to read it and about how he felt when he was not feeling sick before Location: Naganaki Shrine Evening Action: You interact with Akinari","Akinari Kamiki: Minato, do you have any favorite authors or books? I'm always looking for new things to read."
9,"Minato Ariasto, lost his parents in a 1999 incident and unknowingly sealed the entity 'Death' within himself. Minato awakens his initial Persona, Orpheus, which is destroyed by Thanatos. He then learns about his abilities, the Shadows, and SEES before joining the group. Minato is the only character with the Wild Card ability and attends school with Yukari Takeba, sparking rumors about their relationship.
Minato Ariasto was born in 1992 & his parents died in 1999.Minato is first seen departing for the Dorm in Port Island. During that time, he experiences the Dark Hour, and is confused upon the sudden change of the surroundings and the sudden halt of his earphones functioning, though he takes the hour in stride, seemingly unaffected. Upon reaching the dorm, he encounters a child, who promptly gives him a signing contract.

Social Links: Mitsuru Kirijo=0 ,Aegis:=0,Yukari Takeba=0,Kenji Tomochika=0,Keisuke Hiraga=0,Akinari Kamiki=0,Kazushi Miyamoto=0,Yuko Nishiwaki=0,Kenji Tomochika: He asks you to eat dinner with him when next free, and talks with you over ramen about relationships (yours). Location: School Classroom Afternoon Action: You are stopped by Kenji on the way out of the class. Kenji Tomochika: Hey, man, I'm gonna set some ramen after school. You wanna come? You: Why are you asking me?","No reason, likely. I just dont have anything to do later. So whatddaya say, man? Let's get some ramen and talk."
