,Prompt,Completion
0,"Geralt of Rivia is one such witcher, who was trained and mutated. Witchers are often shunned by society due to their physical mutations and the perception that they are emotionless killers. Despite this, they are still sought after for their expertise in combatting monsters. Novigrad is a bustling city known for its commerce and culture, but also a hub for crime and corruption. The people of Novigrad are diverse and varied, with a mixture of races and backgrounds living and working in the city.  the people of Novigrad are generally pragmatic and opportunistic, with a strong emphasis on self-preservation and survival. Toussaint is a duchy located in the south of the Northern Kingdoms, and it is known for its idyllic countryside, vineyards, and chivalric traditions. The people of Toussaint are generally polite, courtly, and refined, with a strong emphasis on etiquette and manners. the people of Toussaint are generally sophisticated and cultured, with a deep appreciation for the finer things in life, such as art, music, and wine. Skelligers are known for their fierce warrior culture and their love of raiding and pillaging. They are a proud and independent people, with a deep respect for tradition and clan loyalty. The Skelligers also have a strong connection to the sea, and their seafaring skills are legendary. Skelligers are generally straightforward and blunt. They value strength, courage, and honor, and have little patience for weakness or cowardice. They can be brusque and sometimes confrontational.In Novigrad you talk to male npc.", npc: White One?
1,"Geralt of Rivia is one such witcher, who was trained and mutated. Witchers are often shunned by society due to their physical mutations and the perception that they are emotionless killers. Despite this, they are still sought after for their expertise in combatting monsters. Novigrad is a bustling city known for its commerce and culture, but also a hub for crime and corruption. The people of Novigrad are diverse and varied, with a mixture of races and backgrounds living and working in the city.  the people of Novigrad are generally pragmatic and opportunistic, with a strong emphasis on self-preservation and survival. Toussaint is a duchy located in the south of the Northern Kingdoms, and it is known for its idyllic countryside, vineyards, and chivalric traditions. The people of Toussaint are generally polite, courtly, and refined, with a strong emphasis on etiquette and manners. the people of Toussaint are generally sophisticated and cultured, with a deep appreciation for the finer things in life, such as art, music, and wine. Skelligers are known for their fierce warrior culture and their love of raiding and pillaging. They are a proud and independent people, with a deep respect for tradition and clan loyalty. The Skelligers also have a strong connection to the sea, and their seafaring skills are legendary. Skelligers are generally straightforward and blunt. They value strength, courage, and honor, and have little patience for weakness or cowardice. They can be brusque and sometimes confrontational.In Novigrad you talk to male npc., npc: White One?In Novigrad you talk to male npc.",npc: Sod off you miserable mutant.
2,"Geralt of Rivia is one such witcher, who was trained and mutated. Witchers are often shunned by society due to their physical mutations and the perception that they are emotionless killers. Despite this, they are still sought after for their expertise in combatting monsters. Novigrad is a bustling city known for its commerce and culture, but also a hub for crime and corruption. The people of Novigrad are diverse and varied, with a mixture of races and backgrounds living and working in the city.  the people of Novigrad are generally pragmatic and opportunistic, with a strong emphasis on self-preservation and survival. Toussaint is a duchy located in the south of the Northern Kingdoms, and it is known for its idyllic countryside, vineyards, and chivalric traditions. The people of Toussaint are generally polite, courtly, and refined, with a strong emphasis on etiquette and manners. the people of Toussaint are generally sophisticated and cultured, with a deep appreciation for the finer things in life, such as art, music, and wine. Skelligers are known for their fierce warrior culture and their love of raiding and pillaging. They are a proud and independent people, with a deep respect for tradition and clan loyalty. The Skelligers also have a strong connection to the sea, and their seafaring skills are legendary. Skelligers are generally straightforward and blunt. They value strength, courage, and honor, and have little patience for weakness or cowardice. They can be brusque and sometimes confrontational.In Novigrad you talk to male npc., npc: White One? In Novigrad you talk to male npc., npc: Sod off you miserable mutant. In Novigrad you talk to male npc."," ""npc: Leave me be."""
3,"Geralt of Rivia is one such witcher, who was trained and mutated. Witchers are often shunned by society due to their physical mutations and the perception that they are emotionless killers. Despite this, they are still sought after for their expertise in combatting monsters. Novigrad is a bustling city known for its commerce and culture, but also a hub for crime and corruption. The people of Novigrad are diverse and varied, with a mixture of races and backgrounds living and working in the city.  the people of Novigrad are generally pragmatic and opportunistic, with a strong emphasis on self-preservation and survival. Toussaint is a duchy located in the south of the Northern Kingdoms, and it is known for its idyllic countryside, vineyards, and chivalric traditions. The people of Toussaint are generally polite, courtly, and refined, with a strong emphasis on etiquette and manners. the people of Toussaint are generally sophisticated and cultured, with a deep appreciation for the finer things in life, such as art, music, and wine. Skelligers are known for their fierce warrior culture and their love of raiding and pillaging. They are a proud and independent people, with a deep respect for tradition and clan loyalty. The Skelligers also have a strong connection to the sea, and their seafaring skills are legendary. Skelligers are generally straightforward and blunt. They value strength, courage, and honor, and have little patience for weakness or cowardice. They can be brusque and sometimes confrontational.In Novigrad you talk to male npc.", npc: Try not to disturb me.
4,"Geralt of Rivia is one such witcher, who was trained and mutated. Witchers are often shunned by society due to their physical mutations and the perception that they are emotionless killers. Despite this, they are still sought after for their expertise in combatting monsters. Novigrad is a bustling city known for its commerce and culture, but also a hub for crime and corruption. The people of Novigrad are diverse and varied, with a mixture of races and backgrounds living and working in the city.  the people of Novigrad are generally pragmatic and opportunistic, with a strong emphasis on self-preservation and survival. Toussaint is a duchy located in the south of the Northern Kingdoms, and it is known for its idyllic countryside, vineyards, and chivalric traditions. The people of Toussaint are generally polite, courtly, and refined, with a strong emphasis on etiquette and manners. the people of Toussaint are generally sophisticated and cultured, with a deep appreciation for the finer things in life, such as art, music, and wine. Skelligers are known for their fierce warrior culture and their love of raiding and pillaging. They are a proud and independent people, with a deep respect for tradition and clan loyalty. The Skelligers also have a strong connection to the sea, and their seafaring skills are legendary. Skelligers are generally straightforward and blunt. They value strength, courage, and honor, and have little patience for weakness or cowardice. They can be brusque and sometimes confrontational.In Novigrad you talk to male npc.","npc: Go on, I aint.. I ain't affeared."
5,"Geralt of Rivia is one such witcher, who was trained and mutated. Witchers are often shunned by society due to their physical mutations and the perception that they are emotionless killers. Despite this, they are still sought after for their expertise in combatting monsters. Novigrad is a bustling city known for its commerce and culture, but also a hub for crime and corruption. The people of Novigrad are diverse and varied, with a mixture of races and backgrounds living and working in the city.  the people of Novigrad are generally pragmatic and opportunistic, with a strong emphasis on self-preservation and survival. Toussaint is a duchy located in the south of the Northern Kingdoms, and it is known for its idyllic countryside, vineyards, and chivalric traditions. The people of Toussaint are generally polite, courtly, and refined, with a strong emphasis on etiquette and manners. the people of Toussaint are generally sophisticated and cultured, with a deep appreciation for the finer things in life, such as art, music, and wine. Skelligers are known for their fierce warrior culture and their love of raiding and pillaging. They are a proud and independent people, with a deep respect for tradition and clan loyalty. The Skelligers also have a strong connection to the sea, and their seafaring skills are legendary. Skelligers are generally straightforward and blunt. They value strength, courage, and honor, and have little patience for weakness or cowardice. They can be brusque and sometimes confrontational.In Novigrad you talk to male npc.", npc: Hmm?
6,"Geralt of Rivia is one such witcher, who was trained and mutated. Witchers are often shunned by society due to their physical mutations and the perception that they are emotionless killers. Despite this, they are still sought after for their expertise in combatting monsters. Novigrad is a bustling city known for its commerce and culture, but also a hub for crime and corruption. The people of Novigrad are diverse and varied, with a mixture of races and backgrounds living and working in the city.  the people of Novigrad are generally pragmatic and opportunistic, with a strong emphasis on self-preservation and survival. Toussaint is a duchy located in the south of the Northern Kingdoms, and it is known for its idyllic countryside, vineyards, and chivalric traditions. The people of Toussaint are generally polite, courtly, and refined, with a strong emphasis on etiquette and manners. the people of Toussaint are generally sophisticated and cultured, with a deep appreciation for the finer things in life, such as art, music, and wine. Skelligers are known for their fierce warrior culture and their love of raiding and pillaging. They are a proud and independent people, with a deep respect for tradition and clan loyalty. The Skelligers also have a strong connection to the sea, and their seafaring skills are legendary. Skelligers are generally straightforward and blunt. They value strength, courage, and honor, and have little patience for weakness or cowardice. They can be brusque and sometimes confrontational.In Novigrad you talk to male npc., npc: Hmm? In Novigrad you talk to male npc.",npc: What is it?
7,"Geralt of Rivia is one such witcher, who was trained and mutated. Witchers are often shunned by society due to their physical mutations and the perception that they are emotionless killers. Despite this, they are still sought after for their expertise in combatting monsters. Novigrad is a bustling city known for its commerce and culture, but also a hub for crime and corruption. The people of Novigrad are diverse and varied, with a mixture of races and backgrounds living and working in the city.  the people of Novigrad are generally pragmatic and opportunistic, with a strong emphasis on self-preservation and survival. Toussaint is a duchy located in the south of the Northern Kingdoms, and it is known for its idyllic countryside, vineyards, and chivalric traditions. The people of Toussaint are generally polite, courtly, and refined, with a strong emphasis on etiquette and manners. the people of Toussaint are generally sophisticated and cultured, with a deep appreciation for the finer things in life, such as art, music, and wine. Skelligers are known for their fierce warrior culture and their love of raiding and pillaging. They are a proud and independent people, with a deep respect for tradition and clan loyalty. The Skelligers also have a strong connection to the sea, and their seafaring skills are legendary. Skelligers are generally straightforward and blunt. They value strength, courage, and honor, and have little patience for weakness or cowardice. They can be brusque and sometimes confrontational.In Novigrad you walk to male npc.", npc: The witch hunters defend us from monsters!
8,"Geralt of Rivia is one such witcher, who was trained and mutated. Witchers are often shunned by society due to their physical mutations and the perception that they are emotionless killers. Despite this, they are still sought after for their expertise in combatting monsters. Novigrad is a bustling city known for its commerce and culture, but also a hub for crime and corruption. The people of Novigrad are diverse and varied, with a mixture of races and backgrounds living and working in the city.  the people of Novigrad are generally pragmatic and opportunistic, with a strong emphasis on self-preservation and survival. Toussaint is a duchy located in the south of the Northern Kingdoms, and it is known for its idyllic countryside, vineyards, and chivalric traditions. The people of Toussaint are generally polite, courtly, and refined, with a strong emphasis on etiquette and manners. the people of Toussaint are generally sophisticated and cultured, with a deep appreciation for the finer things in life, such as art, music, and wine. Skelligers are known for their fierce warrior culture and their love of raiding and pillaging. They are a proud and independent people, with a deep respect for tradition and clan loyalty. The Skelligers also have a strong connection to the sea, and their seafaring skills are legendary. Skelligers are generally straightforward and blunt. They value strength, courage, and honor, and have little patience for weakness or cowardice. They can be brusque and sometimes confrontational.In Novigrad you talk to male npc.","npc: Whoah, whoah, whoah, stop flexing like that you are making me nervous."
9,"Geralt of Rivia is one such witcher, who was trained and mutated. Witchers are often shunned by society due to their physical mutations and the perception that they are emotionless killers. Despite this, they are still sought after for their expertise in combatting monsters. Novigrad is a bustling city known for its commerce and culture, but also a hub for crime and corruption. The people of Novigrad are diverse and varied, with a mixture of races and backgrounds living and working in the city.  the people of Novigrad are generally pragmatic and opportunistic, with a strong emphasis on self-preservation and survival. Toussaint is a duchy located in the south of the Northern Kingdoms, and it is known for its idyllic countryside, vineyards, and chivalric traditions. The people of Toussaint are generally polite, courtly, and refined, with a strong emphasis on etiquette and manners. the people of Toussaint are generally sophisticated and cultured, with a deep appreciation for the finer things in life, such as art, music, and wine. Skelligers are known for their fierce warrior culture and their love of raiding and pillaging. They are a proud and independent people, with a deep respect for tradition and clan loyalty. The Skelligers also have a strong connection to the sea, and their seafaring skills are legendary. Skelligers are generally straightforward and blunt. They value strength, courage, and honor, and have little patience for weakness or cowardice. They can be brusque and sometimes confrontational.In Novigrad you talk to male npc., npc: Whoah, whoah, whoah, stop flexing like that you are making me nervous. In Novigrad you talk to male npc.","npc: What do you want, land rat?"
