,Source
0,GossipCop
1,TechRadar UK
3,Snark Food
4,Entertainment Weekly \(blog\)
5,The Patriot-News \(blog\)
6,JamBase
7,Waterloo Record
8,ChristianToday
9,Kingston Daily Freeman
10,Latino Post
11,BBC News
12,TIME
13,UPI.com
14,CNBC.com
15,Peninsula On-line
16,MarketWatch
17,WTOP
18,Mother Nature Network
19,TIME
20,International Business Times UK
21,The Star-Ledger
22,New York Post
23,Christian Science Monitor
24,Ottawa Citizen
25,iWantPop
26,NDTV
27,mxdwn.com
28,HitFix
29,fox6now.com
30,Mac Rumors
31,Re\/code
32,Wall Street Journal
33,The Herald-Times \(subscription\)
34,Columbus Dispatch
35,Daily Life
36,Daily Mail
37,iClarified
38,Mac Rumors
39,Complex.com
40,Tech Times
41,Cambio
42,Broadway World
43,Cape Breton Post
44,BuddyTV
45,Housing Wire
46,Forbes
47,CBS Local
48,PC Gamer Magazine
49,Vibe
50,Businessweek
51,iNVEZZ
52,J-14 Magazine
53,WDRB
54,TheStreet.com
55,CarterMatt.com
56,RTT News
57,just-style.com
58,CNNMoney \(press release\)
59,Businessweek
60,Macworld
61,MarketWatch
62,Us Magazine
63,Mashable
64,The Asian Age
65,Reality TV World
66,Town Hall
67,Telecompaper \(subscription\)
68,Sky News Australia
69,PJ Media
70,SlashGear
71,Zimbio
72,gulfnews.com
73,Kotaku
74,fuse.tv
75,Metal.com News
76,Daily Mail
77,NEWS.com.au
78,TIME
79,RTT News
81,Telegraph.co.uk
83,Press of Atlantic City
85,WDRB
86,Wonkette \(satire\)
87,Uproxx
88,ITV News
89,Businessweek
90,Entertainment Weekly
91,Mideast Time
92,TheHDRoom
93,hellomagazine.com
94,Business Standard
95,iSource
96,Yahoo TV \(blog\)
97,FITSNews
98,Broadway World
99,The Star-Ledger
100,Oregon Daily Emerald
101,TIME
102,ReadWrite
103,Cambio
104,Sky News Australia
105,Vulture
106,MTV.com
107,USA TODAY
108,Jezebel
109,MarketWatch
110,LALATE
111,ClaimsJournal.com
112,Forbes
113,Cinema Blend
114,Reality TV World
115,TechCrunch
116,The Stir
117,Firstpost
118,TheStreet.com
119,TVbytheNumbers
120,Us Magazine
121,HyperVocal
122,Wired
123,MyFox Austin
124,The Hollywood Gossip
125,Mediaite
126,Motley Fool
127,Contactmusic.com
128,The Independent
129,The Almagest
130,TheStreet.com
131,GameSpot
132,myfox8.com
133,KMBC Kansas City
134,Gospel Herald
135,Radar Online
136,ExtremeTech
137,Popular Mechanics
138,BetaNews
139,SegmentNext
140,Waterloo Record
141,Global Times
142,CNBC.com
143,CTV News
144,Deadline.com
145,Stuff.co.nz
146,Android Community
147,soFeminine.co.uk
148,Side Mission
149,The Malay Mail Online
150,StarPhoenix
151,CBS News
152,Uproxx
153,Opptrends
154,Headlines \& Global News
155,Venture Capital Post
156,The Guardian
157,Q13 FOX
158,The New Republic
159,Businessweek
160,Toronto Star
161,International Business Times UK
162,Reality TV World
163,Fox News
164,NDTV
165,WTOP
166,PopCrush
167,E-Commerce Times
168,Businessweek
169,BuddyTV
170,Canadian Manufacturing
171,International Business Times
172,AllGov
173,Gameranx
174,Politix
175,iWantPop
176,Motley Fool
177,Washington Times
178,USA TODAY
179,SheKnows.com
180,South China Morning Post
181,Peninsula On-line
182,Peninsula On-line
183,Castanet.net
184,KOMO News
185,FXstreet.com
186,Cambio
187,24\/7 Wall St.
188,Latin Post
189,TheWrap
190,Independent Online
191,Hollywood Reporter
192,TheDay.com \(blog\)
193,Yahoo News
194,Motley Fool
195,The Star-Ledger
196,BuddyTV
197,Entertainment Weekly \(blog\)
198,Latinos Post
199,CNN
200,Money Morning
201,Autoblog \(blog\)
202,Us Magazine
203,Hypable
204,Hollywood Life
205,Daily Life
206,Businessinsider India
207,24\/7 Wall St.
208,RT
209,BuddyTV
210,Law360 \(subscription\)
211,Houston Press \(blog\)
212,AllGov
213,TheChronicleHerald.ca
214,UT The Daily Texan \(blog\)
215,Telegraph.co.uk
216,The Inquisitr
217,Home Media Magazine
218,The Outhouse
219,The Independent
220,WCCFtech
221,Ars Technica
222,Ottawa Citizen
223,Hollywood Life
224,The Herald-Times \(subscription\)
225,The Guardian \(blog\)
226,SlashGear
227,TVWise
228,The Stir
229,WDRB
230,Daily Beast
231,Kingston Daily Freeman
233,Wall St. Cheat Sheet
234,Engadget
235,BREATHEcast
236,marie claire magazine Australia
237,SlashGear
238,Reveal
239,Businessweek
240,SlashGear
241,New York Magazine
242,International Business Times
243,OCRegister
244,Popular Mechanics
245,TidBITS
246,Latinos Post
247,Chicago Daily Herald
248,RTT News
249,BBC News
250,University Herald
251,Contactmusic.com
252,Libya Herald
253,Engadget
254,The Futon Critic
255,Bidness Etc
256,mxdwn.com
257,BGR
258,SheKnows.com
259,RTT News
260,Contactmusic.com
261,TV.com
262,Quartz
263,New York Daily News
264,Bollywood Life
265,MotoringCrunch
266,CBS Local
267,ConsumerAffairs
268,Bloomberg View
269,Paste Magazine
270,Fibre2fashion.com
271,Jezebel
272,iClarified
273,Zimbio
274,Daily Life
275,InformationWeek
276,The Stir
277,Polygon
278,Irish Times \(blog\)
279,"International Business Times, India Edition"
281,GeekWire
282,The Escapist
283,Computerandvideogames.com \(blog\)
284,PopCrush
285,UPI.com
286,Newsday
287,Daily Political
288,Us Magazine
289,VatorNews
290,Livemint
291,TrustedReviews
292,iWantPop
293,Q13 FOX
294,Cinema Blend
295,USA TODAY
296,Mashable
297,Newstalk ZB
298,iNVEZZ
299,Hollywood Reporter
300,The Voice of Russia
301,Science Fiction
302,CTV News
303,Hollywood Reporter
304,Milwaukee Journal Sentinel
305,Zimbio
306,Jezebel
307,Metro
308,Investorplace.com
309,CNBC.com
310,MarineLink
311,CNBC.com
312,Newser
313,Computerworld Australia
314,The Periscope Post
315,Businessinsider India
316,Entertainment Weekly
317,NowGamer
318,Latin Post
319,Digital Trends
320,Moneycontrol.com
321,PopCrush
322,Capsule Computers
323,The West Australian
324,BBC News
325,Bloomberg
326,Geeky gadgets
327,TODAYonline
329,Babble
330,The Plain Dealer
331,AceShowbiz
332,SlashGear
333,Digital Trends
334,International Business Times UK
336,The Gamer Headlines
337,TopNews United States
338,VentureBeat
339,Global Times
340,MotoringCrunch
341,antiMUSIC.com
342,Digital Spy
343,Winsford Guardian
344,Product Reviews
345,Newser
346,Daily Mail
347,Denver Post
348,Lancaster Newspapers
349,Broadway World
350,Co.Exist
351,TechCrunch
352,Bloomberg View
