,Source
2145,Computerandvideogames.com
2736,Geeky gadgets
1385,Buenos Aires Herald
1596,CTV News
533,Forbes
784,CBS Local
1729,The Stir
2466,BuddyTV
2482,Politico
2642,Business Spectator
420,Hollywood Reporter
767,Motley Fool
814,Castanet.net
1529,Jalopnik
738,Gamasutra
1358,Venture Capital Post
886,Business Standard
203,Hypable
1648,New York Daily News
2400,Newsday
295,USA TODAY
251,Contactmusic.com
2446,MTV.com
1723,Bloomberg
2110,New York Daily News
2481,WBUR
1913,Jobs \& Hire
822,Toledo Blade
1262,New Jersey 101.5 FM Radio
1119,Latinos Post
2001,Entrepreneur
2186,Reality TV World
1406,GameSpot
765,International Business Times
2374,iWantPop
1161,The Voice of Russia
1140,Latin Times
108,Jezebel
1855,Recombu
669,Motley Fool
2218,The Star Online
2150,Geeky gadgets
536,The Consumerist
1937,Investorplace.com
230,Daily Beast
236,marie claire magazine Australia
472,CarterMatt.com
583,BGR
115,TechCrunch
52,J-14 Magazine
2149,Interactive Investor
876,AceShowbiz
805,USA TODAY
547,Independent Online
455,TechSpot
362,OS News
1492,UPI.com
2332,Contactmusic.com
1320,CBS News
2559,PC Magazine
1256,VatorNews
2294,Yahoo TV \(blog\)
2441,Motley Fool
485,Jezebel
1899,Fox News
216,The Inquisitr
1830,Reality Rewind
2377,Inc.com
971,TruthDive
2079,Deadline.com
2212,Baltimore Sun \(blog\)
424,Minneapolis Star Tribune
1297,Fox News
889,Gothamist
222,Ottawa Citizen
1440,CBS News
1313,Geeky gadgets
681,Auto World News
2368,Mideast Time
851,Cinema Blend
1778,Jakarta Post
417,The Oregonian
2422,ValueWalk
1922,Mideast Time
2500,bit-tech.net
2691,Newser
2640,Castanet.net
2173,MediaPost Communications
1608,eNCA
1750,Headlines \& Global News
1242,TheChronicleHerald.ca
748,Daily Life
1920,Livemint
2208,The Malay Mail Online
2240,Daily Mail
2406,ScreenCrush
1880,Irish Independent
277,Polygon
1273,New Yorker \(blog\)
1680,The Oregonian
1480,Businessinsider India
264,Bollywood Life
100,Oregon Daily Emerald
256,mxdwn.com
2193,Techsonian \(press release\)
1199,BREATHEcast
1345,International Business Times UK
510,Auto World News
1095,The BoomBox
1222,Reality Tea
899,The Stir
2493,Al Jazeera America
2304,The Guardian
1987,San Jose Mercury News
1586,The Star-Ledger
2233,The Japan News
1154,Columbus Dispatch
910,Gizmodo UK
1491,The Guardian
2176,CTV News
2113,Metro
2015,TheStreet.com
1027,GMA News
760,AceShowbiz
2612,The Japan Times
1540,TopNews Arab Emirates
1236,San Jose Mercury News
2453,Newser
1079,Daily Mail
1885,Extra
2561,Livemint
1518,Latin Times
746,CMR
806,iWantPop
809,Variety
31,Re\/code
650,Investorplace.com
1034,San Jose Mercury News
1949,Shacknews
1448,Bloomberg
2571,Ticker Report
2464,Telegraph.co.uk
2279,Forbes
68,Sky News Australia
1115,TechHive
430,Fast Company
2097,Sky News Australia
2653,The West Australian
2587,Toronto Star
1544,GameSpot
447,Daily Mail
2652,AceShowbiz
2344,Sowetan
559,Middletown Press
242,International Business Times
444,Headlines \& Global News
909,International Business Times UK
113,Cinema Blend
2017,Las Vegas Review-Journal
1419,Polygon
1706,New Yorker \(blog\)
167,E-Commerce Times
1732,Franchise Herald
1065,WebProNews
257,BGR
2133,Forbes
1379,Headlines \& Global News
1745,CBS Local
2158,Complex.com
792,TIME
830,Deccan Chronicle
1132,24\/7 Wall St.
2170,MSN Money
1626,International Business Times UK
1088,Headlines \& Global News
1543,Sydney Morning Herald
2136,Inrumor
2712,Product Reviews
570,The Stir
861,Washington Times
446,The Independent
2319,CrazyEngineers
668,The Periscope Post
560,Worcester Telegram
2199,ZDNet
469,Press Trust of India
2735,Bidness Etc
161,International Business Times UK
2379,Forbes
1578,Guide2Derby
1724,Android Authority
1012,iWantPop
1380,Entertainment Weekly
613,Android Headlines - Android News
2006,Bloomberg
959,Business Standard
1633,Adweek
104,Sky News Australia
321,PopCrush
2613,VG247
829,TIME
937,Irish Independent
1787,TechRadar UK
1533,Interactive Investor
266,CBS Local
542,Law360 \(subscription\)
522,USA TODAY
2558,The Utah People's Post
2276,Glamour.com
670,Benzinga
2207,Philadelphia Magazine \(blog\)
183,Castanet.net
329,Babble
2328,Adweek
849,Zimbio
468,WebProNews
2010,Worcester Telegram
1801,MSN Money
262,Quartz
1099,The Nation. \(blog\)
2749,The Inquisitr
2402,Vancouver Sun
2265,SheKnows.com
1020,WebProNews
774,iClarified
494,Columbus Dispatch
297,Newstalk ZB
145,Stuff.co.nz
1898,Wired
1965,Game Politics
1840,TravelersToday
2699,Dose.ca
1139,TechCrunch
2090,Automotive News
1344,Contactmusic.com
986,Deadline.com
2213,Albuquerque Journal
2513,Rigzone
2172,Daniels Trading
2660,Science 2.0
2316,The Northern Echo
2452,Milwaukee Journal Sentinel
1576,The Verge
1826,Pocket-lint.com
1218,The Stir
252,Libya Herald
2336,UPI.com
1762,Overclockers Club
355,LAPTOP Magazine \(blog\)
1833,CNN \(blog\)
1874,The Periscope Post
967,Seattle Post Intelligencer \(blog\)
2407,CNBC.com
1900,CNBC.com
1403,Contactmusic.com
457,Latin Post
974,Belfast Telegraph
1593,Forbes
2032,Independent Online
1854,PC Magazine
1287,eNCA
2339,Hypable
1654,Businessweek
987,Express.co.uk
2680,Independent Online
1738,Deadline.com
361,The Globe and Mail
212,AllGov
628,Businessweek
1450,Forbes
1915,Franchise Herald
1958,A.V. Club
58,CNNMoney \(press release\)
2686,Ubergizmo
2425,The Post-Standard
234,Engadget
2491,WebProNews
