,Source
2330,Deutsche Welle
2267,Ars Technica
377,World Internet TV on PC \(blog\)
550,www.worldbulletin.net
2475,Variety
1519,Motley Fool
1153,RTT News
1939,Ultimate Classic Rock
2008,Entertainment Weekly
2341,The Escapist
1816,Android Community
1736,Digital Spy
2552,Forbes
97,FITSNews
1921,CNBC.com
1160,GossipCop
2539,Law360 \(subscription\)
1696,PCGamesN
473,Sugarscape
2289,The Times-Picayune
802,Mashable
724,Toronto Star
2248,Chicago Daily Herald
1281,Liliputing
712,Entertainment Weekly \(blog\)
821,Parade
947,Auto World News
1824,SBS
2403,The Hollywood Gossip
808,KTVN
1867,MarketWatch
1863,WBUR
492,Global Times
275,InformationWeek
635,Headlines \& Global News
500,International Business Times UK
179,SheKnows.com
966,Daily Mail
2023,Latin Post
2510,Daily Mail
1482,The Inquisitr
2066,Ocala
783,Broadcasting \& Cable
887,Reveal
2685,ValueWalk
1131,Deutsche Welle
2024,Latino Post
524,Salt Lake Tribune
418,MSN Money
581,International Financing Review
2414,Cambio
128,The Independent
1691,New York Daily News
200,Money Morning
1997,Irish Independent
865,The Periscope Post
1861,Toledo Blade
2381,Investorplace.com
2580,Game Front
1640,Phandroid.com
1081,MSN Money
33,The Herald-Times \(subscription\)
1056,Christian Post
2584,SlashGear
580,Latin Post
1215,Motley Fool
2396,"International Business Times, India Edition"
1866,RTT News
2606,Contactmusic.com
1260,LAPTOP Magazine \(blog\)
698,MSN NZ News
543,New York Daily News
963,Game Front
1675,Techsonian \(press release\)
373,Independent Online
1290,Telegraph.co.uk
2599,International Business Times UK
2628,National Business Review \(subscription\)
302,CTV News
1775,BBC News
573,SheKnows.com
1000,NYU Washington Square News
1092,Daily Mail
1765,CNN \(blog\)
2117,WebProNews
1486,"International Business Times, India Edition"
2706,Motley Fool
1435,UPI.com
950,Newsday
462,MSN Philippines News
2666,Tulsa World
327,TODAYonline
878,Billboard
71,Zimbio
1607,WDRB
198,Latinos Post
45,Housing Wire
57,just-style.com
1624,BreakingNews.ie
1446,Food World News
674,Ubergizmo
1601,Deseret News
74,fuse.tv
1594,Entertainment Weekly
2178,The Escapist
1057,International Business Times
2489,Money Morning
1068,Jezebel
1248,Local 10
1737,TmoNews
620,CNBC.com
397,GossipCop
2354,The Guardian \(blog\)
2356,Idolator\: All About The Music
1795,Music and Lyrics
1394,UT The Daily Texan \(blog\)
443,ScreenCrush
1656,ChristianToday
689,VentureBeat
288,Us Magazine
1367,Headlines \& Global News
932,ReadWrite
2055,BBC News
1925,DailyFinance
1610,TheStreet.com
1230,Gamenguide
2362,Radar Online
1451,The News Ledge
2320,The Hollywood Gossip
1353,MyFox Austin
1114,Global Times
1994,Classicalite
827,Lawyer Herald
2205,Christian Science Monitor
1888,MTV.com
839,Hamilton Spectator
192,TheDay.com \(blog\)
1350,Bloomberg
225,The Guardian \(blog\)
324,BBC News
1579,Reality Rewind
1299,Benzinga
638,Key 103 Manchester
1914,TechHive
1404,NBC 5 Dallas-Fort Worth
2649,Droid Report
64,The Asian Age
1829,MarketWatch
1786,Motley Fool
1571,the Diplomat
1621,The Utah People's Post
2577,Ars Technica
1082,TODAYonline
1058,UPI.com
1362,ZDNet
1423,The Epoch Times
2383,Bidness Etc
860,Babble
1124,Daily Beast
991,Us Magazine
2118,The Daily Voice
598,PJ Media
1557,The Epoch Times
30,Mac Rumors
1105,Business Spectator
1693,GossipCop
2050,autoevolution
2622,Zimbio
1567,Sydney Morning Herald
304,Milwaukee Journal Sentinel
1023,Irish Times \(blog\)
174,Politix
1464,The News Ledge
44,BuddyTV
1496,Businessinsider India
696,The Malay Mail Online
238,Reveal
1200,ScreenCrush
2596,Zolmax
714,Cape Breton Post
780,stv.tv
476,Forbes
1992,Student Operated Press
1033,BBC News
1022,Benzinga
2342,Glamour.com
1413,Paste Magazine
153,Opptrends
2676,Forbes
403,10TV
138,BetaNews
2135,TV.com
1040,Seattle Post Intelligencer \(blog\)
2088,Irish Independent
259,RTT News
801,Central Banking \(subscription\)
493,Investorplace.com
588,MSN Money
2239,DailyFinance
1116,OpEdNews
421,Bloomberg View
2711,The Guardian
1301,24\/7 Wall St.
1291,PCWorld \(blog\)
501,Digital Spy
2387,Kotaku
697,KFBK
944,CNET
177,Washington Times
182,Peninsula On-line
1522,Softonic EN
1504,Digital Trends
215,Telegraph.co.uk
521,Emag.co.uk
1383,Bloomberg
1211,MTV UK
676,Entertainment Weekly
629,Montreal Gazette
1048,CBS News
156,The Guardian
1389,Ars Technica
331,AceShowbiz
412,Top Tech News
1505,Hollywood Reporter
451,Business Standard
2188,Motley Fool
1285,The Voice of Russia
1053,NPR \(blog\)
513,Las Vegas Review-Journal
2544,Metro
244,Popular Mechanics
1582,AceShowbiz
998,Key 103 Manchester
441,GeekWire
1142,Newser
340,MotoringCrunch
1999,Geeky gadgets
623,The Japan Times
2333,Billboard
376,Motley Fool
2223,Daily Mail
1849,Us Magazine
1365,Express.co.uk
894,CarterMatt.com
1779,Business Spectator
1988,The Times Herald
616,Hollywood Reporter
1316,"International Business Times, India Edition"
954,RollingStone.com
2550,Latin Post
172,AllGov
1590,Reality TV World
1789,Stuff.tv
1072,Yahoo Canada Shine \(blog\)
787,South China Morning Post
1175,Press Herald
475,Hollywood Reporter
2375,Windsor Star
139,SegmentNext
1125,Belfast Telegraph
1665,Fast Company
980,Tuscaloosa News \(subscription\)
2232,The Verge
1277,KCRA Sacramento
2309,Newser
432,marie claire magazine Australia
2478,Slate Magazine \(blog\)
1434,The Periscope Post
854,Broadway World
214,UT The Daily Texan \(blog\)
