Prompt,Completion
Action: You move past Dutch.,Dutch: Good morning Arthur.{greet}
Action: You walk into Dutch.,You: Dont mind me Dutch.
Action: You stand near Dutch for a while.,Dutch: Can you give me some room here.
Action: You stand near Dutch for a while.,Dutch: Back up a bit will you.{angry}
Action: You stand near Dutch for a while.,Dutch: Why are you acting like a fool.{angry}
Action: You keep stand near Dutch for a while.,Dutch: You want me to teach you a lesson you'll regret.{threaten}
"Narrative: You greet Dutch. ","You: Feels like we're back on track, more or less. Dutch: Yup. Money and Food, now everyone needs to keep it comming. You: For sure."
"Narrative: You greet Dutch. ","You: Okay there Dutch? Dutch: Warm, dry, and nobody shooting at me. A marked improvement. You: Indeed."
Narrative: You greet Dutch.,You: Morning.{greet}
"Narrative: You greet Dutch. ","You: Anything I need to worry about. Dutch: Not right this minute.{greet}"
"Narrative: You greet Dutch. ","You: Any problems. Dutch: Not any new ones."
"Narrative: You greet Dutch. ","You: You good? Dutch: Just can't seem to get a moment's peace."
"Narrative: You antagonize Dutch. ","You: So, what you doing, staring all that time into space. Dutch: Am I sensing ideas above your station again?{angry}"
"Narrative: You greet Dutch. ","You: Hope you're working on a plan there. Dutch: Always."
"Narrative: You greet Dutch. ","You: Another day another dollar. Dutch: Yes indeed."
"Narrative: You antagonize Dutch. ","You: So no more master plans okay? You're better of without them. Dutch: I'm just impressed you're stringing entire sentences together."
Narrative: You defuse the situation.,"You: Alright, simmer down. Dutch: Another bizare attempt at comradery."
"Narrative: You antagonize Dutch. ","You: You know... you could get out there too, Dutch. Dutch: Just remember who you're talking to."
"Narrative: You antagonize Dutch using Hosea. ","You: Everyone sees you and Hosea reading. Dutch: Why are you doing this?"
"Narrative: You antagonize Dutch. ","You: Uh oh, Dutch is thinking. Dutch: I'm not even gonna dignify that with a response."
Narrative: You greet Dutch using day.. ,You: Another day and we are still alive. Dutch: Of course we are.
Action: You walk by Strauss.,"Strauss: Good Morning, Arthur.{greet}"
Narrative: You greet Strauss.,You: Good morning to ya.
"Narrative: You greet Strauss. ","You: Bet you never thought you'd end up here, huh. Strauss: I didn't know where I'd end up."
"Narrative: You greet Strauss. ","You: Hey Strauss. Strauss: Good Morning, Arthur.{greet}"
"Narrative: You greet Strauss. ","You: Keep those books full, now. Strauss: I'm trying."
"Narrative: You greet Strauss. ","You: Hey Strauss. Strauss: Herr Morgan."
"Narrative: You greet Strauss. ","You: Why are you looking so shifty? Strauss: I'm not."
"Narrative: You greet Strauss. ","You: Putting the world to rights there? Strauss: Trying to, Mr. Morgan."
Narrative: You greet Strauss.,"You: Hello, Mr. Strauss.{greet}"
Action: You walk by Strauss.,Strauss: Hello Mr. Morgan.{greet}
Narrative: You greet Strauss.,You: Good morning to you.
Action: You walk by Strauss.,"Strauss: How are you, Mr. Morgan.{greet}"
"Narrative: You antagonize Strauss. ","You: You revolt me. Strauss: I don't want to get into this, please."
"Narrative: You antagonize Strauss.","You: Wipe that snooty look off your face for one minute, will you. Strauss: Why so rude."
"Narrative: You antagonize Strauss. ","You: You little bloodsucker. Strauss: Oh no, not this."
Narrative: You antagonize Strauss. ,You: You sicken me. Strauss: I don't want to get into this please.
"Narrative: You antagonize Strauss. ","You: Hey Strauss, they call me mean, but you take the prize. Strauss: Now there's no need to be rude."
"Narrative: You antagonize Strauss. ","You: You sicken me. Strauss: Please dont be like this Mr. Morgan."
Narrative: You antagonize Micah.,You: Hey if you're looking for your balls they're back in Blackwater. Micah: You have a stick up your arse? Or think of yourself as such a big man?{angry}
Narrative: You antagonize Micah.,You: Just what is your game? Micah: I just hope I ain't your's!
"Narrative: You antagonize Micah.","You: You creeping no good bastard! Micah: If you got a problem with me, then say it to my face"
Narrative: You antagonize Micah.",You: We would all be better of without you here Micah.Micah: Mind your tounge Arthur.{threaten}
"Narrative: You antagonize Micah.","You: Ah stinks of coward right around here. Micah: You got such a chip on your shoulder don't you"
"Narrative: You antagonize Micah.","You: Drop the tough act it's getting embarrassing. Micah: You think you're really something, don't you?{angry}"
Narrative: You antagonize Micah.",You: I don't think I have ever been less intimidated Micah: You're rattling the wrong cage.{walk}
Narrative: You antagonize Micah.,You: You are the creepiest man I know. Micah: Now that ain't nice Morgan
Narrative: You antagonize Micah.,You: And probably the nastiest. Micah: Guess you havn't looked in a mirror lately?
Narrative: You antagonize Micah.,You: What kind of stupid goddamn name is Micah anyhow? Micah: You're one to talk.
Narrative: You antagonize Micah.,"You: You've kept your mouth shut for five minutes, that's a new record. Micah: You think you're real funny, don't you?{angry}"
Narrative: You antagonize Micah.,"You: Just put the knife away, you ain't impressing no one. Micah: Oh shut up!{angry}"
Narrative: You antagonize Micah.,You: Slip and do us a favor. Micah: This is getting real tiring now.{walk}
Narrative: You antagonize Micah.,You: Everyone's bored of the tough act now. Micah: You need to back off.
Narrative: You antagonize Micah.,"You: Don't smile your face might crack. Micah: Yeah well, look who's talking."
Action: Walking up to Micah.,"Micah: How're you keepin Morgan with all this rain?You: Fine Micah... and you? Micah: Weather don't worry me. In fact, I like it.You: Funny, I didn't think lizards survived in the mountains.Micah: I like that... must remember that line."
Action: Walking up to Micah.,"Micah: Oh, hey Arthur.You: What you want, Micah?Micah: Nothing. I'm just being civl, my brother.You: Well, hello there.Micah: You really are a very charming man, aren't you?"
